Year	Theme	Artist	Composition	Mintage	Issue Price
2007	Blue Crystal - Piedfort	Konrad Wachelko	92.5% silver, 7.5% copper	5,000	$94.95
2007	Iridescent Crystal - Piedfort	Konrad Wachelko	92.5% silver, 7.5% copper	5,000	$94.95
2008	Amethyst Crystal	Konrad Wachelko	99.99% silver	7,500	$94.95
2008	Sapphire Crystal	Konrad Wachelko	99.99% silver	7,500	$94.95
2009	Blue Crystal	Konrad Wachelko	99.99% silver	7,500	$94.95
2009	Pink Crystal	Konrad Wachelko	99.99% silver	7,500	$94.95
2010	Blue Crystal	Konrad Wachelko	99.99% silver	7,500	$99.95
2010	Tanzanite Crystal	Konrad Wachelko	99.99% silver	7,500	$99.95
2011	Emerald Crystal	Konrad Wachelko	99.99% silver	15,000	$114.95
2011	Topaz Crystal	Konrad Wachelko	99.99% silver	15,000	$114.95
2011	Hyacinth Red Small Crystal	Konrad Wachelko	99.99% silver	15,000	$114.95
2011	Montana Blue Small Crystal	Konrad Wachelko	99.99% silver	15,000	$114.95
