Lok Sabha	Duration	Name of M.P.	Party Affiliation	Election Year
Fourth	1967-71	P. Sivasankaran	Dravida Munnetra Kazhagam	1967
Fifth	1971-77	T.S. Lakshmanan	Dravida Munnetra Kazhagam	1971
Sixth	1977-80	Seeralan Jaganathan	All India Anna Dravida Munnetra Kazhagam	1977
Seventh	1980-84	T. Nagaratnam	Dravida Munnetra Kazhagam	1980
Eighth	1984-89	Margatham Chandrasekar	Indian National Congress	1984
Ninth	1989-91	Margatham Chandrasekar	Indian National Congress	1989
Tenth	1991-96	Margatham Chandrasekar	Indian National Congress	1991
Elewenth	1996-98	T. Nagaratnam	Dravida Munnetra Kazhagam	1996
Twelfth	1998-99	K. Venugopal	All India Anna Dravida Munnetra Kazhagam	1998
Thirteenth	1999-04	A. Krishnaswamy	Dravida Munnetra Kazhagam	1999
Fourteenth	2004-09	A. Krishnaswamy	Dravida Munnetra Kazhagam	2004
Fifteenth	2009- Incumbent	T. R. Baalu	Dravida Munnetra Kazhagam	2009
