#	Episode	Rating	Share	Rating/Share (18-49)	Viewers (millions)	Rank (Night)
1	"Out Here in the Fields"	8.2	14	3.8/10	11.33	3
2	"The Real Adventures of the Unreal Sam Tyler"	5.7	10	2.7/7	8.47	8
3	"My Maharishi is Bigger Than Your Maharishi"	TBA	9	2.5/7	8.06	11
6	"Tuesday's Dead"	6.0	10	2.9/8	8.94	8
7	"The Man Who Sold the World"	5.3	9	2.6/7	7.97	9
8	"Take a Look at the Lawmen"	4.0	7	2.3/6	8.89	7
9	"The Dark Side of the Mook"	3.7	6	2.3/5	6.02	5
10	"Let All the Children Boogie"	3.0	5	2.0/6	5.14	TBA
11	"Home is Where You Hang Your Holster"	3.5	6	2.1/6	5.78	7
12	"The Simple Secret of The Note In Us All"	3.2	5	2.0/6	5.55	8
13	"Revenge of Broken Jaw"	3.5	6	2.1/6	5.66	6
14	"Coffee, Tea, or Annie"	3.0	4	1.5/4	4.58	13
15	"All the Young Dudes"	3.3	6	2.0/6	5.27	11
16	"Everyone Knows It's Windy"	3.5	6	2.1/6	5.67	8
