Week	Date	Opponent	Result	Attendance
1	September 2, 1979	at New York Jets	W 25–22	48,272
2	September 9, 1979	at Kansas City Chiefs	W 27–24	42,181
3	September 16, 1979	Baltimore Colts	W 13–10	72,070
4	September 24, 1979	Dallas Cowboys	W 26–7	80,123
5	September 30, 1979	at Houston Oilers	L 31–10	48,915
6	October 7, 1979	Pittsburgh Steelers	L 51–35	81,260
7	October 14, 1979	Washington Redskins	L 13–9	63,323
8	October 21, 1979	Cincinnati Bengals	W 28–27	75,119
9	October 28, 1979	at St. Louis Cardinals	W 38–20	47,845
10	November 4, 1979	at Philadelphia Eagles	W 24–19	69,019
11	November 11, 1979	Seattle Seahawks	L 29–24	72,440
12	November 18, 1979	Miami Dolphins	W 30–24	80,374
13	November 25, 1979	at Pittsburgh Steelers	L 33–30	49,112
14	December 2, 1979	Houston Oilers	W 14–7	69,112
15	December 9, 1979	at Oakland Raiders	L 19–14	52,641
16	December 16, 1979	at Cincinnati Bengals	L 16–12	42,183
