Position	Club	Played	Won	Drawn	Lost	Pts For	Pts Agst	Bonus Points	Points
1	Celtic Crusaders	20	17	0	3	826	311	3	54
2	Featherstone Rovers	20	17	0	3	775	302	2	53
3	Barrow Raiders	20	15	0	5	683	371	4	49
4	Oldham Roughyeds	19	14	0	5	585	340	5	47
5	Workington Town	20	12	0	8	595	439	5	41
6	York City Knights	21	9	0	12	432	448	6	33
7	London Skolars	21	8	1	12	422	582	3	29
8	Hunslet Hawks	19	7	0	12	331	551	6	27
9	Swinton Lions	19	9	0	10	533	581	5	26
10	Keighley Cougars	20	5	1	14	363	661	3	20
11	Gateshead Thunder	19	5	0	14	346	731	3	18
