Pick #	Player	Position	Nationality	NHL team	College/junior/club team
129	Bob Lorimer	Defence	Canada	New York Islanders	Michigan Technological University (NCAA)
130	Larry Patey	Centre	Canada	California Golden Seals	Braintree Hawks (NEJHL)
131	Peter Folco	Defence	Canada	Vancouver Canucks	Quebec Remparts (QMJHL)
132	Dave Pay	Left Wing	Canada	Toronto Maple Leafs	University of Wisconsin (NCAA)
133	Bob Bilodeau	Defence	Canada	Atlanta Flames	New Westminster Bruins (WCHL)
134	Gord Lane	Defence	Canada	Pittsburgh Penguins	New Westminster Bruins (WCHL)
135	Dennis O'Brien	Defence	Canada	Detroit Red Wings	Laurentian University ( CIAU )
136	Jim Johnston	Centre	Canada	Minnesota North Stars	Peterborough Petes (OHA)
137	Dan O'Donohue	Defence	Canada	Philadelphia Flyers	Sault Ste. Marie Greyhounds (OHA)
138	Tom Newman	Defence	Canada	Detroit Red Wings	Kitchener Rangers (OHA)
139	Ray Bibeau	Defence	Canada	Detroit Red Wings	Montreal Junior Canadiens (QMJHL)
140	Jack Johnson	Defence	United States	Chicago Black Hawks	University of Wisconsin (NCAA)
141	Steve Alley	Left Wing	United States	Chicago Black Hawks	University of Wisconsin (NCAA)
142	Jim Pettie	Goaltender	Canada	Boston Bruins	St. Catharines Black Hawks (OHA)
143	Bob Wright	Right Wing	Canada	Montreal Canadiens	Pembroke Lumber Kings ( CJAHL )
