Team	Make	Drivers	Tyre	Rounds
Autobacs Racing Team Aguri	Honda	Ralph Firman	B	All
Autobacs Racing Team Aguri	Honda	Takuya Izawa	B	All
Hasemi Motorsport	Nissan	Ronnie Quintarelli	B	All
Hasemi Motorsport	Nissan	Naoki Yokomizo	B	All
ENEOS Toyota Team LeMans	Lexus	Daisuke Ito	B	1–4, 9
ENEOS Toyota Team LeMans	Lexus	Björn Wirdheim	B	All
ENEOS Toyota Team LeMans	Lexus	Akira Iida	B	5–8
ENEOS Toyota Team LeMans	Lexus	Roberto Streit	B	6
Team Impul	Nissan	Tsugio Matsuda	B	1–4, 6–9
Team Impul	Nissan	Sébastien Philippe	B	All
Team Impul	Nissan	Dominik Schwager	B	5
Real Racing with Leon	Honda	Katsutomo Kaneishi	B	All
Real Racing with Leon	Honda	Toshihiro Kaneishi	B	All
Real Racing with Leon	Honda	Koudai Tsukakoshi	B	6
Dome Racing Team	Honda	Ryo Michigami	B	All
Dome Racing Team	Honda	Takashi Kogure	B	All
Nismo	Nissan	Michael Krumm	B	All
Nismo	Nissan	Masataka Yanagida	B	All
Nismo	Nissan	Dominik Schwager	B	6
Nismo	Nissan	Satoshi Motoyama	B	All
Nismo	Nissan	Benoît Tréluyer	B	All
Nismo	Nissan	Fabio Carbone	B	6
Kondo Racing	Nissan	João Paulo de Oliveira	Y	All
Kondo Racing	Nissan	Seiji Ara	Y	All
Toyota Team Tsuchiya	Lexus	Takeshi Tsuchiya	Y	All
Toyota Team Tsuchiya	Lexus	Hiroaki Ishiura	Y	All
Nakajima Racing	Honda	Loïc Duval	D	All
Nakajima Racing	Honda	Katsuyuki Hiranaka	D	All
Houzan Toyota Team Kraft	Lexus	Peter Dumbreck	B	All
Houzan Toyota Team Kraft	Lexus	Tatsuya Kataoka	B	All
Houzan Toyota Team Kraft	Lexus	Shigekazu Wakisaka	B	6
Petronas Toyota Team TOM'S	Lexus	Juichi Wakisaka	B	All
Petronas Toyota Team TOM'S	Lexus	André Lotterer	B	All
Petronas Toyota Team TOM'S	Lexus	Carlo van Dam	B	6
ZENT Toyota Team Cerumo	Lexus	Yuji Tachikawa	B	All
ZENT Toyota Team Cerumo	Lexus	Richard Lyons	B	All
Toyota Team SARD	Lexus	Toranosuke Takagi	D	All
Toyota Team SARD	Lexus	André Couto	D	All
Toyota Team SARD	Lexus	Koki Saga	D	6
Team Kunimitsu	Honda	Yuji Ide	B	All
Team Kunimitsu	Honda	Shinya Hosokawa	B	All
Team Kunimitsu	Honda	Kosuke Matsuura	B	6
