Series #	Title	Directed by	Written by	France air date	Canadian air date	US air date
1	"Pilot" "Pilote"	John Stead & Duane Clark	Gil Grant	18April2011	19 April 2011	29 June 2012
2	"Green Falls" "Green Falls"	Philippe Haïm	Philippe Lyon	18April2011	26 April 2011	6 July 2012
3	"Lockdown" "Sans issue"	Duane Clark	Charles Heit	25April2011	3 May 2011	13 July 2012
4	"The Irish Version" "La Version irlandaise"	Xavier Palud	Denis McGrath	25April2011	10 May 2011	20 July 2012
5	"Training Camp" "Bienvenue à Bitterroot"	Duane Clark	Pamela Davis	2May2011	17 May 2011	27 July 2012
6	"Costa Verde" "Opération Costa Verde"	Michael Robison	Peter Mohan	2May2011	25 May 2011	17 August 2012
7	"Undertow" "Plongée en eaux troubles"	Paul Shapiro	Andrea Stevens	9May2011	1 June 2011	24 August 2012
8	"Hunting Party" "Une partie de chasse"	Alain Tasma	Grant Rosenberg	9May2011	8 June 2011	31 August 2012
9	"The Bank Job" "Braquage à la russe"	Lee Rose	Denis McGrath	16May2011	15 June 2011	7 September 2012
10	"The Train" "L'enlèvement"	Steve DiMarco	Charles Heit	16May2011	22 June 2011	14 September 2012
11	"The Bunker" "Le Bunker"	Ken Girotti	Peter Mohan	23May2011	30 June 2011	21 September 2012
12	"The Key" "La Clé"	Alain Tasma	Grant Rosenberg	23May2011	5 July 2011	28 September 2012
