Pick	Player	Position	Nationality	NHL team	College/junior/club team
27.	Marc Moro	Defence	Canada	Ottawa Senators	Kingston Frontenacs (OHL)
28.	Jan Hlavac	Left Wing	Czech Republic	New York Islanders	HC Sparta Praha ( Czech Republic )
29.	Brian Wesenberg	Right Wing	Canada	Mighty Ducks of Anaheim	Guelph Storm (OHL)
30.	Mike McBain	Defence	Canada	Tampa Bay Lightning	Red Deer Rebels (WHL)
31.	Georges Laraque	Right Wing	Canada	Edmonton Oilers	Saint-Jean Lynx (QMJHL)
32.	Marc Chouinard	Centre	Canada	Winnipeg Jets	Beauport Harfangs (QMJHL)
33.	Donald MacLean	Centre	Canada	Los Angeles Kings	Beauport Harfangs (QMJHL)
34.	Jason Doig	Defence	Canada	Winnipeg Jets (from Montreal)	Laval Titan Collège Français (QMJHL)
35.	Sergei Fedotov	Defence	Russia	Hartford Whalers	HC Dynamo Moscow (Russia)
36.	Aaron MacDonald	Goaltender	Canada	Florida Panthers	Swift Current Broncos (WHL)
37.	Patrick Cote	Left Wing	Canada	Dallas Stars	Beauport Harfangs (QMJHL)
38.	Peter Roed	Centre	United States	San Jose Sharks	White Bear Lake High School (USHS-Minnesota)
39.	Christian Dube	Centre	Canada	New York Rangers	Sherbrooke Faucons (QMJHL)
40.	Chris McAllister	Left Wing	Canada	Vancouver Canucks	Saskatoon Blades (WHL)
41.	D. J. Smith	Defence	Canada	New York Islanders (from Toronto)	Windsor Spitfires (OHL)
42.	Mark Dutiame	Left Wing	Canada	Buffalo Sabres	Brandon Wheat Kings (WHL)
43.	Dwayne Hay	Left Wing	Canada	Washington Capitals	Guelph Storm (OHL)
44.	Nathan Perrott	Right Wing	Canada	New Jersey Devils	Oshawa Generals (OHL)
45.	Christian Laflamme	Defence	Canada	Chicago Blackhawks	Beauport Harfangs (QMJHL)
46.	Pavel Smirnov	Centre	Russia	Calgary Flames	Molot Perm (Russia)
47.	Paxton Schafer	Goaltender	Canada	Boston Bruins	Medicine Hat Tigers (WHL)
48.	Shane Kenny	Defence	Canada	Philadelphia Flyers	Owen Sound Platers (OHL)
49.	Jochen Hecht	Centre	Germany	St. Louis Blues	Mannheim Eagles (Germany)
50.	Pavel Rosa	Right Wing	Czech Republic	Los Angeles Kings (from Pittsburgh)	HC Litvínov (Czech Republic)
51.	Nic Beaudoin	Left Wing	Canada	Colorado Avalanche	Detroit Jr. Red Wings (OHL)
