Year	Name	Birth date	Death date	Place of birth	Place of death or residence
1682	Eilif Philipsen	21 July 1682	20 June 1785	Norway	Norway
1695	Ferdinand Ashmall	9 January 1695	5 February 1798	United Kingdom	United Kingdom
1709	Mollie Sneden	13 January 1709	31 January 1810	United States	United States
1721	Joseph Frederick Wallet DesBarres	22 November 1721	27 October 1824	Switzerland	Canada
1724	Lorenzo Malori	27 August 1724	16 March 1830	Italy	Italy
1725	Marie-Louise Plante	10 March 1725	14 June 1832	Canada	Canada
1728	Edward Augustus Holyoke	1 August 1728	31 March 1829	United States	United States
1729	Pierre Darcourt	23 January 1729	11 May 1837	Belgium	Belgium
1731	Marie-Anne Lizotte	6 July 1731	14 January 1835	Canada	Canada
1736	Marie-Thérèse Laveau	26 June 1736	21 May 1838	Canada	Canada
1737	Jeanne Hudenot	28 February 1737	20 May 1843	France	France
1738	Marie-Rosalie Lizotte	25 December 1738	5 March 1847	Canada	Canada
1741	Marie-Therese Hamel	14 February 1741	17 July 1841	Canada	Canada
1742	Sampson Salter Blowers	10 March 1742	25 October 1842	United States	Canada
1743	Marie-Anne Colin	20 March 1743	24 July 1849	Belgium	Belgium
1750	Marie Francois Fleury	15 October 1750	28 April 1857	France	France
1755	David Rennie	28 February 1755	2 March 1857	United Kingdom	United Kingdom
1757	Laban Ainsworth	19 July 1757	17 March 1858	United States	United States
1759	Lemuel Cook	10 September 1759	May 20, 1866	United States	United States
1762	Daniel Waldo	10 September 1762	30 July 1864	United States	United States
1764	John Gray	6 January 1764	29 March 1868	United States	United States
1767	Jacob William Luning	19 May 1767	23 June 1870	Germany	United Kingdom
1771	Catherine Shafto	10 February 1771	19 May 1872	United Kingdom	United Kingdom
1773	Richard McHeffy	26 December 1773	5 December 1874	Canada	Canada
1775	Henry Boehm	8 June 1775	28 December 1875	United States	United States
1782	Willem van Renterghem	9 December 1782	24 October 1888	Belgium	Belgium
1783	Anne D'Evergroote	18 October 1783	14 March 1892	Belgium	Belgium
1784	Elisabeth Vandevraye	19 November 1784	26 November 1889	Belgium	Belgium
1784	Moses Montefiore	24 October 1784	28 July 1885	United Kingdom	United Kingdom
1786	Michel Eugène Chevreul	31 August 1786	9 April 1889	France	France
1788	Geert Adriaans Boomgaard	21 September 1788	3 February 1899	Netherlands	Netherlands
1791	Provo Wallis	12 April 1791	13 February 1892	Canada	United Kingdom
1792	Margaret Ann Neve	18 May 1792	4 April 1903	Guernsey	Guernsey
1793	John Chessell Buckler	8 December 1793	10 January 1894	United Kingdom	United Kingdom
