Year	Venue	Winners	Runner-up	3rd place
1988	Slaný	Peter Nahlin (14 pts)	Henrik Gustafsson (11+3 pts)	Brian Karger (11+2 pts)
1989	Lonigo	Gert Handberg (13+3 pts)	Chris Louis (13+2 pts)	Niklas Karlsson (12 pts)
1990	Lviv	Chris Louis (14 pts)	Rene Aas (13 pts)	Tony Rickardsson (10+3 pts)
1991	Coventry	Brian Andersen (14+3 pts)	Morten Andersen (14+2 pts)	Jason Lyons (11 pts)
1992	Pfaffenhofen an der Ilm	Leigh Adams (14+3 pts)	Mark Loram (14+2 pts)	Joe Screen (13 pts)
1993	Pardubice	Joe Screen (14+3 pts)	Mikael Karlsson (14+2 pts)	Rune Holta (10+3 pts)
1994	Elgane	Mikael Karlsson (14+3 pts)	Rune Holta (14+2 pts)	Jason Crump (12+3 pts)
1995	Tampere	Jason Crump (13+3 pts)	Daniel Andersson (13+F pts)	Ryan Sullivan (12+3 pts)
1996	Olching	Piotr Protasiewicz (15 pts)	Ryan Sullivan (11+3 pts)	Jesper B. Jensen (11+2 pts)
1997	Mšeno	Jesper B. Jensen (14 pts)	Rafał Dobrucki (11+3 pts)	Scott Nicholls (11+2 pts)
1998	Piła	Robert Dados (14+3 pts)	Krzysztof Jabłoński (14+2 pts)	Matej Ferjan (12 pts)
1999	Vojens	Lee Richardson (13 pts)	Aleš Dryml, Jr. (11 pts)	Nigel Sadler (10+3+2 pts)
2000	Gorzów Wlkp.	Andreas Jonsson (14 pts)	Krzysztof Cegielski (11+3 pts)	Jarosław Hampel (11+2 pts)
Year	Venue	Winners	Runner-up	3rd place
2001	Peterborough	Dawid Kujawa (12 pts)	Lukáš Dryml (11 pts)	Rafał Okoniewski (10+3 pts)
2002	Slaný	Lukáš Dryml (14+3 pts)	Krzysztof Kasprzak (14+2 pts)	David Howe (12 pts)
2003	Kumla	Jarosław Hampel (14 pts)	Chris Harris (13 pts)	Rafał Szombierski (11+3 pts)
2004	Wrocław	Robert Miśkowiak (12 pts +2 +2)	Kenneth Bjerre (8 pts +3 +2)	Matej Žagar (8 pts +2 +1)
2005	Wiener Neustadt	Krzysztof Kasprzak (8 pts)	Tomáš Suchánek (8 pts)	Fredrik Lindgren (7 pts)
2006	Terenzano	Karol Ząbik (13 pts +3)	Antonio Lindbäck (12 pts +2)	Christian Hefenbrock (12 pts +1)
2007	Ostrów Wlkp.	Emil Sayfutdinov (15 pts)	Chris Holder (14 pts)	Paweł Hlib (12 pts)
2008	Pardubice	Emil Sayfutdinov (14 pts)	Chris Holder (12+3 pts)	Jurica Pavlic (12+2 pts)
2009	Goričan	Darcy Ward (13 pts)	Jurica Pavlic (12+3 pts)	Patrick Hougaard (12+2 pts)
