Frequency	Call sign	Branding	Format	Owner
AM 1070	CFAX	CFAX 1070	news / talk	Bell Media Radio
FM 88.9	CBUX-FM-1	Espace musique	public music	Canadian Broadcasting Corporation
FM 90.5	CBCV-FM	CBC Radio One	public news / talk	Canadian Broadcasting Corporation
FM 91.3	CJZN-FM	The Zone	modern rock	Jim Pattison Group
FM 92.1	CBU-FM-2	CBC Radio 2	public music	Canadian Broadcasting Corporation
FM 98.5	CIOC-FM	The Ocean	soft adult contemporary	Rogers Communications
FM 99.7	CBUF-FM-9	Première Chaîne	public news / talk	Canadian Broadcasting Corporation
FM 100.3	CKKQ-FM	The Q	active rock	Jim Pattison Group
FM 101.9	CFUV-FM	CFUV	campus radio	University of Victoria
FM 103.1	CHTT-FM	Jack FM	adult hits	Rogers Communications
FM 107.3	CHBE-FM	Kool FM	hot adult contemporary	Bell Media Radio
FM 107.9	CILS-FM	Radio Victoria	community radio	Société Radio Communautaire Victoria
