Date	Venue	Score	Result	Competition
10 March 1957	Santiago Bernabéu , Madrid, Spain	1–1	2–2	1958 FIFA World Cup qualification
31 March 1957	Heysel , Brussels, Belgium	0–2	0–5	Friendly
31 March 1957	Heysel , Brussels, Belgium	0–5	0–5	Friendly
8 May 1957	Hampden Park , Glasgow, United Kingdom	2–2	4–2	1958 FIFA World Cup qualification
13 March 1958	Parc des Princes , Paris, France	1–2	2–2	Friendly
15 October 1958	Santiago Bernabéu , Madrid, Spain	4–1	6–2	Friendly
28 June 1959	Silesian Stadium , Chorzów , Poland	1–1	2–4	UEFA Euro 1960 qualifying
28 June 1959	Silesian Stadium , Chorzów , Poland	1–3	2–4	UEFA Euro 1960 qualifying
22 November 1959	Mestalla , Valencia , Spain	2–0	6–3	Friendly
22 November 1959	Mestalla , Valencia , Spain	3–0	6–3	Friendly
17 December 1959	Parc des Princes , Paris, France	0–1	4–3	Friendly
10 July 1960	Estadio Nacional , Lima, Peru	0–2	1–3	Friendly
10 July 1960	Estadio Nacional , Lima, Peru	0–3	1–3	Friendly
26 October 1960	Wembley , London, UK	2–2	4–2	Friendly
