Date	Opponent	Score	Result	Record
May 17	vs. San Antonio	73-64	Win	1-0
May 20	@ Seattle	62-74	Loss	1-1
May 22	@ Chicago	77-87	Loss	1-2
May 24	@ Connecticut	64-87	Loss	1-3
May 30	vs. Houston	73-66	Win	2-3
June 6	vs. Detroit	70-84	Loss	2-4
June 8	@ New York	70-63	Win	3-4
June 11	@ Washington	79-76	Win	4-4
June 12	@ Minnesota	82-78	Win	5-4
June 14	vs. Los Angeles	66-74	Loss	5-5
June 20	vs. Connecticut	56-72	Loss	5-6
June 22	vs. Chicago	82-70	Win	6-6
June 24	@ Indiana	73-78	Loss	6-7
June 26	@ Minnesota	76-80	Loss	6-8
June 28	vs. New York	82-78	Win	7-8
July 1	vs. Washington	87-81	Win	8-8
July 3	@ San Antonio	67-68	Loss	8-9
July 5	@ Houston	65-73	Loss	8-10
July 8	vs. Seattle	64-79	Loss	8-11
July 10	vs. Los Angeles	87-69	Win	9-11
July 12	vs. Phoenix	105-97	Win	10-11
July 18	vs. Atlanta	77-73	Win	11-11
July 20	@ Detroit	88-85	Win	12-11
July 22	@ Atlanta	79-66	Win	13-11
July 24	vs. Phoenix	83-74	Win	14-11
July 26	vs. Indiana	70-62	Win	15-11
July 27	@ Seattle	71-77	Loss	15-12
August 28	@ Los Angeles	63-78	Loss	15-13
August 30	vs. Houston	80-65	Win	16-13
September 5	@ Phoenix	69-81	Loss	16-14
September 7	vs. Minnesota	78-71	Win	17-14
September 9	vs. Seattle	77-74	Win	18-14
September 13	@ San Antonio	69-77	Loss	18-15
September 15	@ Houston	81-90	Loss	18-16
