Source	Date	MARTIN	GRÜNE	Others	Undecided
Gallup/Österreich	2009-06-02	12–14%	8–10%	–	–
Market/Standard	2009-06-01	15%	8%	1%	–
Karmasin/Profil	2009-05-28	13%	10%	2%	–
OGM/News	2009-05-27	14%	8%	1%	–
IFES/Heute	2009-05-25	10%	11%	2%	–
OGM/ORF	2009-05-24	11%	9%	2%	–
Market/Standard	2009-05-22	17%	10%	4%	–
Market/ORF-Eco	2009-05-08	13%	8%	2%	–
Gallup/Österreich	2009-05-08	8%	9%	–	–
OGM/News	2009-05-06	9%	10%	–	–
Karmasin/Profil	2009-05-02	9%	9%	–	–
OGM/News	2009-04-15	6%	9%	1%	–
Gallup/Österreich	2009-04-04	6–8%	8–10%	–	–
Peter Hayek/ATV	2009-04-01	10%	9%	3%	–
Manova/Presse	2009-04-01	3%	13%	2%	–
Gallup/Österreich	2009-03-27	7–9%	9-11%	–	–
Market/Standard	2009-03-25	8%	9%	3%	–
Gallup/Österreich	2009-03-13	7–9%	9-11%	–	–
Fessel-Gfk/Presse	2009-03-05	4%	8%	–	26%
