Week	Date	Opponent	Result	Attendance
1	September 7, 1980	at New Orleans Saints	W 26-23	58,621
2	September 14, 1980	St. Louis Cardinals	W 24-21	49,999
3	September 21, 1980	at New York Jets	W 37-27	50,608
4	September 28, 1980	Atlanta Falcons	L 20-17	56,518
5	October 5, 1980	at Los Angeles Rams	L 48-26	62,188
6	October 12, 1980	at Dallas Cowboys	L 59-14	63,399
7	October 19, 1980	Los Angeles Rams	L 31-17	55,360
8	October 26, 1980	Tampa Bay Buccaneers	L 24-23	51,925
9	November 2, 1980	at Detroit Lions	L 17-13	78,845
10	November 9, 1980	at Green Bay Packers	L 23-16	54,475
11	November 16, 1980	at Miami Dolphins	L 17-13	45,135
12	November 23, 1980	New York Giants	W 12-0	38,574
13	November 30, 1980	New England Patriots	W 21-17	45,254
14	December 7, 1980	New Orleans Saints	W 38-35	37,949
15	December 14, 1980	at Atlanta Falcons	L 35-10	55,767
16	December 21, 1980	Buffalo Bills	L 18-13	37,476
