Name	Years	Gender	Area	Authority	Decile	Roll
Akitio School	1–8	Coed	Dannevirke	State	10	7
Alfredton School	1–8	Coed	Eketahuna	State	9	44
Ballance School	1–8	Coed	Pahiatua	State	6	28
Dannevirke High School	9–13	Coed	Dannevirke	State	4	476
Dannevirke South School	1–8	Coed	Dannevirke	State	5	347
Eketahuna School	1–8	Coed	Eketahuna	State	5	91
Hillcrest School	1–8	Coed	Pahiatua	State	2	46
Huia Range School	1–8	Coed	Dannevirke	State	3	246
Kumeroa-Hopelands School	1–8	Coed	Woodville	State	4	63
Makuri School	1–8	Coed	Makuri	State	5	7
Mangamaire Country School	1–8	Coed	Mangamaire	State	9	29
Mangatainoka School	1–8	Coed	Mangatainoka	State	5	63
Norsewood and Districts School	1–8	Coed	Norsewood	State	6	113
Pahiatua School	1–8	Coed	Pahiatua	State	3	259
Papatawa School	1–8	Coed	Woodville	State	7	13
Pongaroa School	1–8	Coed	Pongaroa	State	6	59
Ruahine School	1–8	Coed	Dannevirke	State	6	176
St Anthony's School	1–8	Coed	Pahiatua	State integrated	6	141
St Joseph's School	1–8	Coed	Dannevirke	State integrated	5	103
Tararua College	9–13	Coed	Pahiatua	State	4	330
TKKM o Tamaki Nui A Rua	1–13	Coed	Dannevirke	State	2	73
Totara College of Accelerated Learning	1–13	Coed	Dannevirke	State integrated	3	47
Weber School	1–8	Coed	Weber	State	7	64
Woodville School	1–8	Coed	Woodville	State	3	143
