Country	Electricity production (Kw/h, billion)	% Coal	% Natural gas	% Oil	% Hydropower	% Other renewable	% Nuclear power
Albania	4.2	0	0	0	100	0	0
Algeria	51.2	0	93.5	5.5	1	0	0
Angola	5.7	0	0	29.1	70.9	0	0
Argentina	129.6	2.5	51.4	15.1	24.4	1.7	4.9
Armenia	7.4	0	32.2	0	33.5	0	34.3
Australia	252.6	68.6	19.7	1.6	6.6	3.5	0
Austria	62.2	11.8	19.9	1.6	55	10.7	0
Azerbaijan	20.3	0	85.1	1.7	13.2	0	0
Bahrain	13.8	0	100	0	0	0	0
Bangladesh	44.1	1.8	91.5	4.8	2	0	0
Belarus	32.2	0	98.3	1.1	0.1	0.3	0
Belgium	89	6	28.6	0.3	0.2	9.2	54.2
Benin	0.2	0	0	99.4	0	0.6	0
Bolivia	7.2	0	62.5	1.6	32.5	3.4	0
Bosnia and Herzegovina	15.3	70.7	0.3	0.2	28.7	0	0
Botswana	0.4	100	0	0	0	0	0
Brazil	531.8	2.3	4.7	2.8	80.6	6.6	2.9
Brunei Darussalam	3.7	0	99	1	0	0.1	0
Bulgaria	50	55	4.2	0.3	5.8	2	32.6
Cambodia	1.1	3.2	0	90.3	4.3	2.2	0
Cameroon	6	0	7.3	18.3	73.3	1	0
Canada	636.9	12	9.8	1	59	3.3	14.7
Chile	65.7	29.9	20.9	9.7	32	7.6	0
China	4,715.7	79	1.8	0.2	14.8	2.2	1.8
Hong Kong SAR, China	39	71.2	28.5	0.3	0	0	0
Colombia	61.8	3.5	13.4	0.8	79.1	3.3	0
Democratic Republic of Congo	7.9	0	0.4	0.1	99.6	0	0
Republic of Congo	1.3	0	38.1	0.7	61.2	0	0
Costa Rica	9.8	0	0	8.8	72.6	18.7	0
Cote d'Ivoire	6.1	0	69.3	0.5	29.1	1	0
Croatia	10.7	24.1	24.5	7	42	2.4	0
Cuba	17.8	0	11.6	43.3	0.6	2.6	0
Cyprus	4.9	0	0	96.4	0	3.6	0
Czech Republic	86.8	57.5	1.3	0.1	2.3	6.1	32.6
Denmark	35.2	39.7	16.5	1.3	0	40.2	0
Dominican Republic	13	15.4	25.1	47.6	11.8	0.2	0
Ecuador	20.3	0	9.5	32.7	54.9	2.8	0
Egypt	156.6	0	74.7	15.8	8.3	1.3	0
El Salvador	5.8	0	0	34.1	34.6	31.3	0
Eritrea	0.3	0	0	99.4	0	0.6	0
Estonia	12.9	87.9	1.9	0.3	0.2	8.9	0
Ethiopia	5.2	0	0	0.6	99	0.4	0
Finland	73.5	14	12.9	0.6	16.9	15.9	31.6
France	556.9	3.1	4.8	0.6	8	3.6	79.4
Gabon	1.8	0	33	20.7	45.7	0.5	0
Georgia	10.2	0	22.5	0.1	77.4	0	0
Germany	602.4	45.1	13.9	1.1	2.9	17.6	17.9
Ghana	11.2	0	24.3	0	67.5	0	0
Greece	59.2	52.5	23.6	10	6.8	7	0
Guatemala	8.1	14.4	0	18.7	39.8	27.1	0
Haiti	0.7	0	0	79	16.7	4.3	0
Honduras	7.1	1.8	0	54.7	39.5	4	0
Hungary	36	18.3	29.8	0.4	0.6	6.9	43.6
Iceland	17.2	0	0	0	72.7	27.3	0
India	1,052.3	67.9	10.3	1.2	12.4	5	3.2
Indonesia	182.4	44.4	20.3	23.2	6.8	5.2	0
Iran	239.7	0.2	66.8	27.8	5	0.1	0.1
Iraq	54.2	0	62.1	12.9	7.6	0	0
Ireland	27.7	17	53.8	1.5	2.6	17.1	0
Israel	59.6	59	33.1	7.3	0	0.4	0
Italy	300.6	16.7	48.1	6.6	15.2	12.4	0
Jamaica	5.1	0	0	91.8	2	6.2	0
Japan	1,042.7	27	35.9	10.1	8	4.2	9.8
Jordan	14.6	0	27	72.5	0.4	0.1	0
Kazakhstan	86.6	81.1	9.2	0.6	9.1	0	0
Kenya	7.8	0	0	32.7	44	23.3	0
North Korea	21.6	36.3	0	2.7	61	0	0
South Korea	520.1	43.2	22.3	3.2	0.9	0.6	29.8
Kosovo	5.8	97.8	0	0.4	1.8	0	0
Kuwait	57.5	0	38	62	0	0	0
Kyrgyz Republic	15.2	3.2	3.5	0	93.3	0	0
Latvia	6.1	0	49.5	0	47.4	3.1	0
Lebanon	16.4	0	0	95.1	4.9	0	0
Libya	27.6	0	56.3	43.7	0	0	0
Lithuania	4.2	0	62.8	4.9	11.3	14.9	0
Luxembourg	2.6	0	88.5	0	2.2	7	0
Macedonia	6.9	76.9	1.3	1	20.8	0	0
Malaysia	130.1	40.7	44.7	7.7	5.9	1	0
Malta	2.2	0	0	99.4	0	0.5	0
Mexico	295.8	11.5	52.8	16.4	12.3	3.6	3.4
Moldova	5.8	0	93.6	0.3	6.1	0	0
Mongolia	4.8	95.1	0	4.9	0	0	0
Montenegro	2.7	54.7	0	0	45.3	0	0
Morocco	24.9	47	16.3	26.4	7.5	2.8	0
Mozambique	16.8	0	0.1	0	99.9	0	0
Myanmar	7.3	7.6	21.7	0.4	70.3	0	0
Namibia	1.4	1.4	0	0.4	98.2	0	0
Nepal	3.3	0	0	0.1	99.9	0	0
Netherlands	113	21.9	60.6	1.3	0.1	10.9	3.7
New Zealand	44.5	4.9	19.1	0	56.4	19.5	0
Nicaragua	3.8	0	0	66	11.6	22.4	0
Nigeria	27	0	63.3	15.8	20.9	0	0
Norway	126.9	0.1	3.2	0	95.2	1.3	0
Oman	21.9	0	82	18	0	0	0
Pakistan	95.3	0.1	29	35.4	29.9	0	5.5
Panama	7.9	6.5	0	41.1	52.2	0.3	0
Paraguay	57.6	0	0	0	100	0	0
Peru	39.2	1.6	35.7	5.8	55	1.9	0
Philippines	69.2	36.6	29.8	4.9	14	14.6	0
Poland	163.1	86.7	3.6	1.5	1.4	6.6	0
Portugal	51.9	19	28.7	5.2	22.2	24.2	0
Qatar	30.7	0	100	0	0	0	0
Romania	62	40	13.5	1.2	23.8	2.6	18.9
Russia	1,053	15.5	49.3	2.6	15.7	0.1	16.4
Saudi Arabia	250.1	0	43.3	26.5	0	0	0
Senegal	3	0	1.8	86.2	8.5	1.9	0
Serbia	38	75.7	1.3	0.2	22.8	0	0
Singapore	46	0	78	18.4	0	2.3	0
Slovak Republic	28.3	14.3	11.1	2.1	13.4	4.3	54.5
Slovenia	15.9	33.4	3.1	0.1	22.4	2	39.1
South Africa	259.6	93.8	0	0.1	0.8	0.2	5.2
Spain	289	15.5	29.2	5.1	10.6	19.2	20
Sri Lanka	11.6	8.9	0	50.2	39.7	1.2	0
Sudan	8.6	0	0	24.8	75.2	0	0
Sweden	150.3	0.9	1	0.5	44.2	11.7	40.2
Switzerland	62.9	0	1.6	0.1	51.5	2.6	42.5
Syria	41.1	0	52.4	39.6	8	0	0
Tajikistan	16.2	0	1.2	0	98.8	0	0
Tanzania	5.3	1.1	48.8	0.8	49.3	0	0
Thailand	156	22.3	68.3	1.3	5.2	2.8	0
Togo	0.1	0	0	24.5	74.1	1.4	0
Trinidad and Tobago	8.9	0	99.7	0.3	0	0	0
Tunisia	16.1	0	98.9	0.1	0.3	0.7	0
Turkey	229.4	28.9	45.4	0.4	22.8	2.5	0
Turkmenistan	17.2	0	100	0	0	0	0
Ukraine	194.9	38.2	9.5	0.3	5.6	0.1	46.3
United Arab Emirates	99.1	0	98.3	1.7	0	0	0
United Kingdom	364.9	30	40.2	1	1.6	7.9	18.9
United States	4,326.6	43.3	24.2	0.9	7.4	4.8	19
Uruguay	10.3	0	0.9	27.2	62.6	9.3	0
Uzbekistan	52.4	4.1	75.4	1	19.5	0	0
Venezuela	122.1	0	17.2	14.3	68.5	0	0
Vietnam	99.2	21.1	43.9	4.8	30.1	0.1	0
Yemen	6.2	0	21.6	78.4	0	0	0
Zambia	11.5	0	0	0.3	99.7	0	0
Zimbabwe	8.9	25.3	0	0.3	73.6	0.8	0
World	22,158.5	41.2	21.9	3.9	15.6	4.2	11.7
