Date	Site	Sport	Winning team	Series
September 3, 2011	Ames	Volleyball	Iowa State	Iowa State 2–0
September 9, 2011	Iowa City	W Soccer	Iowa	Tied 2–2
September 10, 2011	Ames	Football	Iowa State	Iowa State 5–2
November 12, 2011	Dekalb	M Cross Country	Iowa State	Iowa State 7–2
November 12, 2011	Dekalb	W Cross Country	Iowa State	Iowa State 9–2
December 4, 2011	Ames	Wrestling	Iowa	Iowa State 9–4
December 7, 2011	Ames	W Basketball	Iowa State	Iowa State 11–4
December 9, 2011	Ames	W Swimming	Iowa	Iowa State 11–6
December 9, 2011	Ames	M Basketball	Iowa State	Iowa State 13–6
January 27, 2012	Ames	W Gymnastics	Iowa State	Iowa State 15–6
February 12, 2012	Iowa City	W Tennis	Iowa	Iowa State 15–8
February 17, 2012	Iowa City	W Gymnastics	Iowa	Iowa State 15–10
April 18, 2012	Ames	Softball	Iowa State	Iowa State 17–10
May 5, 2012	N/A	Academics	Iowa	Iowa State 17–11
