County	Area (acres)	Area (km²)	Population	Population Density (per km 2 )
Inverness-shire	2,695,094	10,915.13	89,655	8.21
Argyllshire	2,067,034	8,364.98	59,777	7.15
Ross and Cromarty	1,977,254	8,007.88	58,284	7.28
Perthshire	1,586,577	6,425.63	127,104	19.78
Sutherland	1,297,914	5,276.07	13,055	2.47
Aberdeenshire	1,246,585	5,172.55	150,703	29.14
Ayrshire	724,239	2,930.95	361,248	123.25
Dumfriesshire	688,067	2,784.56	88,215	31.68
Kirkcudbrightshire	574,024	2,324.79	27,369	11.77
Angus	540,352	2,186.77	97,312	44.50
Lanarkshire	535,605	2,169.20	626,787	288.95
Caithness	438,833	1,775.93	27,792	15.65
Roxburghshire	425,564	1,725.24	41,960	24.32
Banffshire	403,054	1,631.14	43,500	26.67
Zetland	c.3,523.37	1,425.85	17,331	12.15
Fife	322,878	1,306.67	327,126	250.35
Wigtownshire	311,984	1,262.58	27,337	21.65
Moray	304,931	1,234.97	51,502	41.70
Berwickshire	292,535	1,183.84	20,778	17.55
Stirlingshire	288,349	1,166.90	208,958	179.07
Kincardineshire	244,428	989.93	26,066	26.33
Orkney	c.240,848	934.67	17,082	18.28
Peeblesshire	222,240	900.07	13,675	15.19
Midlothian	203,354	823.58	142,213	172.68
Selkirkshire	171,209	692.85	20,868	30.12
East Lothian	171,044	692.73	55,908	80.71
Dunbartonshire	154,467	625.11	237,540	380.00
Renfrewshire	143,829	578.00	362,130	626.52
Bute	139,711	565.39	13,309	23.54
Nairnshire	104,251	422.21	11,050	26.17
West Lothian	76,859	311.03	108,484	348.79
Kinross-shire	52,025	210.70	6,423	30.48
Clackmannanshire	34,838	140.99	45,544	323.03
