Place	Rider	Country	Machine	Speed	Time	Points
1	Siegfried Schauzu /W.Kalauch	West Germany	BMW	86.21mph	1:18.47.6	15
2	Georg Auerbacher /H.Hahn	West Germany	BMW	86.10mph	1:18.53.2	12
3	Arsenius Butscher/J.Huber	West Germany	BMW	81.31mph	1:23.32.6	10
4	Jeff Gawley/G.Alcock	United Kingdom	Yamaha	80.22mph	1:24.40.8	8
5	Richard Wegener/A.Heinrichs	West Germany	BMW	80.15mph	1:24.44.6	6
6	Chris Vincent/M.Casey	United Kingdom	BSA	79.19mph	1:25.40.6	5
7	Dick Hawes & J.P.Mann	United Kingdom	Seely	76.37mph	1:28.56.2	4
8	Robin Williams & Jack McPherson	United Kingdom	Triumph	75.47mph	1:30.00.6	3
9	J.Mines & G.Davis	United Kingdom	Matchless	75.25mph	1:30.46.0	2
10	Peter Brown & F.Holden	United Kingdom	BSA	74.62mph	1:31.01.8	1
