Year	Winners	Score	Runner-up	Venue
2002	Villeneuve Leopards	17 - 0	UTC	Béziers
2002-2003	Villeneuve Leopards	34 - 18	Saint-Gaudens Bears	Béziers
2003-2004	Saint-Gaudens Bears	14 - 10	UTC	Béziers
2004-2005	UTC	66 - 16	Toulouse Olympique	Toulouse
2005-2006	Pia Donkeys	21 - 18	Toulouse Olympique	Toulouse
2006-2007	Pia Donkeys	20 - 16	Lezignan Sangliers	Colomiers
2007-2008	Lézignan Sangliers	26-16	Pia Donkeys	Béziers
2008-2009	Lézignan Sangliers	40-32	Limoux Grizzlies	Carcassonne
2009-2010	Lézignan Sangliers	33-22	Pia Donkeys	Montpellier
2010-2011	Lézignan Sangliers	17-12	Limoux Grizzlies	Narbonne
