Game	Date	Opponent	Venue	Result	Attendance
1	15 August 1987	Swindon Town	Home	2–0	10,553
2	18 August 1987	Oldham Athletic	Away	2–0	8,087
3	22 August 1987	Bournemouth	Away	0–2	7,025
4	29 August 1987	Leeds United	Home	0–0	11,428
5	5 September 1987	Millwall	Home	3–1	8,658
6	12 September 1987	Stoke City	Away	2–1	9,571
7	16 September 1987	Plymouth Argyle	Home	3–1	11,009
8	19 September 1987	Blackburn Rovers	Home	2–1	12,068
9	26 September 1987	Shrewsbury Town	Away	2–2	4,247
10	29 September 1987	Huddersfield Town	Away	2–1	11,671
11	3 October 1987	Middlesbrough	Home	2–0	14,222
12	10 October 1987	West Bromwich Albion	Away	1–0	12,241
13	17 October 1987	Birmingham City	Home	4–0	12,256
14	21 October 1987	Manchester City	Home	2–4	14,819
15	24 October 1987	Reading	Away	1–1	5,920
16	31 October 1987	Crystal Palace	Home	2–0	13,021
17	3 November 1987	Hull City	Away	0–0	14,443
18	7 November 1987	Barnsley	Away	0–3	11,569
19	14 November 1987	Sheffield United	Home	2–0	13,694
20	21 November 1987	Leicester City	Away	2–0	11,543
21	28 November 1987	Aston Villa	Home	2–4	15,006
22	5 December 1987	Ipswich Town	Away	0–4	13,707
23	12 December 1987	Bournemouth	Home	2–0	10,763
24	20 December 1987	Plymouth Argyle	Away	1–2	11,350
25	26 December 1987	Shrewsbury Town	Home	1–1	12,474
26	28 December 1987	Blackburn Rovers	Away	1–1	14,124
27	1 January 1988	Leeds United	Away	0–2	36,004
28	2 January 1988	Stoke City	Home	1–4	12,223
29	6 February 1988	Millwall	Away	1–0	8,201
30	13 February 1988	Oldham Athletic	Home	5–3	13,862
31	27 February 1988	Middlesbrough	Away	2–1	21,079
32	1 March 1988	Huddersfield Town	Home	0–1	12,782
33	5 March 1988	Birmingham City	Away	1–1	8,101
34	12 March 1988	West Bromwich Albion	Home	4–1	12,502
35	19 March 1988	Crystal Palace	Away	1–1	9,801
36	30 March 1988	Swindon Town	Away	2–2	8,203
37	2 April 1988	Barnsley	Home	1–1	15,098
38	4 April 1988	Sheffield United	Away	2–1	13,888
39	9 April 1988	Hull City	Home	2–0	13,659
40	20 April 1988	Reading	Home	3–0	13,608
41	23 April 1988	Manchester City	Away	2–2	20,335
42	30 April 1988	Leicester City	Home	4–1	14,393
43	2 May 1988	Aston Villa	Away	0–1	36,423
44	7 May 1988	Ipswich Town	Home	2–3	16,017
