Date	Result	Score	Venue	Competition
09-Jan-00	L	1–2	Oakland , United States	Friendly
12-Jan-00	W	2–1	Los Angeles , United States	Friendly
16-Jan-00	D	1–1	Pasadena , United States	Friendly
04-Feb-00	D	1–1	Kuwait City , Kuwait	Friendly
22-Mar-00	D	0–0	Nicosia , Cyprus	Friendly
31-Mar-00	W	8–0	Aleppo , Syria	2000 Asian Cup Qualifier
02-Apr-00	W	1–0	Aleppo , Syria	2000 Asian Cup Qualifier
04-Apr-00	L	0–1	Aleppo , Syria	2000 Asian Cup Qualifier
09-Apr-00	W	3–0	Tehran , Iran	2000 Asian Cup Qualifier
11-Apr-00	D	1–1	Tehran , Iran	2000 Asian Cup Qualifier
13-Apr-00	W	3–0	Tehran , Iran	2000 Asian Cup Qualifier
24-May-00	W	3–0	Amman , Jordan	2000 WAFF Championship
26-May-00	D	1–1	Amman , Jordan	2000 WAFF Championship
28-May-00	W	1–0	Amman , Jordan	2000 WAFF Championship
31-May-00	W	1–0	Amman , Jordan	2000 WAFF Championship
02-Jun-00	W	1–0	Amman , Jordan	2000 WAFF Championship
07-Jun-00	D	1–1	Tehran , Iran	2000 LG Cup
09-Jun-00	W	3–1	Tehran , Iran	2000 LG Cup
16-Aug-00	W	2–1	Tehran , Iran	Friendly
01-Sep-00	L	1–5	Vienna , Austria	Friendly
27-Sep-00	W	2–1	Doha , Qatar	Friendly
12-Oct-00	W	4–0	Beirut , Lebanon	2000 Asian Cup
15-Oct-00	D	1–1	Beirut , Lebanon	2000 Asian Cup
18-Oct-00	W	1–0	Sidon , Lebanon	2000 Asian Cup
23-Oct-00	L	1–2	Tripoli , Lebanon	2000 Asian Cup
24-Nov-00	W	19–0	Tabriz , Iran	2002 World Cup Qualifier
28-Nov-00	W	2–0	Tabriz , Iran	2002 World Cup Qualifier
19-Jan-01	W	4–0	Tehran , Iran	2001 Civilization Cup
24-Apr-01	L	0–1	Cairo , Egypt	2001 LG Cup
26-Apr-01	L	0–1	Cairo , Egypt	2001 LG Cup
22-Jul-01	D	2–2	Bihać , Bosnia and Herzegovina	Friendly
01-Aug-01	L	1–2	Doha , Qatar	Friendly
08-Aug-01	W	5–2	Tehran , Iran	2001 LG Cup
10-Aug-01	W	4–0	Tehran , Iran	2001 LG Cup
15-Aug-01	W	4–3	Bratislava , Slovakia	Friendly
24-Aug-01	W	2–0	Tehran , Iran	2002 World Cup Qualifier
01-Sep-01	D	0–0	Bangkok , Thailand	2002 World Cup Qualifier
07-Sep-01	W	2–1	Baghdad , Iraq	2002 World Cup Qualifier
14-Sep-01	D	0–0	Tehran , Iran	2002 World Cup Qualifier
28-Sep-01	D	2–2	Jeddah , Saudi Arabia	2002 World Cup Qualifier
05-Oct-01	W	1–0	Tehran , Iran	2002 World Cup Qualifier
12-Oct-01	W	2–1	Tehran , Iran	2002 World Cup Qualifier
21-Oct-01	L	1–3	Riffa , Bahrain	2002 World Cup Qualifier
25-Oct-01	W	1–0	Tehran , Iran	2002 World Cup Qualifier
31-Oct-01	W	3–0	Abu Dhabi , United Arab Emirates	2002 World Cup Qualifier
10-Nov-01	L	0–2	Dublin , Republic of Ireland	2002 World Cup Qualifier
15-Nov-01	W	1–0	Tehran , Iran	2002 World Cup Qualifier
06-Feb-02	L	2–3	Tehran , Iran	Friendly
01-Mar-02	W	1–0	Casablanca , Morocco	2002 LG Cup
03-Mar-02	D	0–0	Casablanca , Morocco	2002 LG Cup
04-Apr-02	D	2–2	Kuwait City , Kuwait	2002 West Asian Games
12-Apr-02	D	0–0	Kuwait City , Kuwait	2002 West Asian Games
30-May-02	W	3–1	Kuwait City , Kuwait	Friendly
10-Aug-02	D	1–1	Tabriz , Iran	Friendly
21-Aug-02	W	1–0	Kiev , Ukraine	Friendly
30-Aug-02	L	0–1	Damascus , Syria	2002 WAFF Championship
03-Sep-02	W	2–0	Damascus , Syria	2002 WAFF Championship
05-Sep-02	D	0–0	Damascus , Syria	2002 WAFF Championship
07-Sep-02	D	2–2	Damascus , Syria	2002 WAFF Championship
17-Sep-02	D	1–1	Tabriz , Iran	2002 LG Cup
19-Sep-02	D	1–1	Tabriz , Iran	2002 LG Cup
01-Feb-03	W	1–0	Hong Kong	2003 Carlsberg Cup
04-Feb-03	D	1–1	Hong Kong	2003 Carlsberg Cup
30-May-03	L	1–2	Abuja , Nigeria	2003 LG Cup
13-Aug-03	L	0–1	Tehran , Iran	2003 LG Cup
15-Aug-03	W	4–1	Tehran , Iran	2003 LG Cup
20-Aug-03	L	1–2	Minsk , Belarus	Friendly
05-Sep-03	W	4–1	Tehran , Iran	2004 Asian Cup Qualifier
26-Sep-03	L	2–3	Amman , Jordan	2004 Asian Cup Qualifier
12-Oct-03	W	3–0	Tehran , Iran	2004 AFC/OFC Challenge Cup
27-Oct-03	W	3–1	Pyongyang , North Korea	2004 Asian Cup Qualifier
12-Nov-03	W	3–0	Tehran , Iran	2004 Asian Cup Qualifier
19-Nov-03	W	3–0	Beirut , Lebanon	2004 Asian Cup Qualifier
28-Nov-03	W	1–0	Tehran , Iran	2004 Asian Cup Qualifier
02-Dec-03	L	1–3	Kuwait City , Kuwait	Friendly
18-Feb-04	W	3–1	Tehran , Iran	2006 World Cup Qualifier
31-Mar-04	W	7–0	Vientiane , Laos	2006 World Cup Qualifier
09-Jun-04	L	0–1	Tehran , Iran	2006 World Cup Qualifier
17-Jun-04	W	4–0	Tehran , Iran	2004 WAFF Championship
21-Jun-04	W	7–1	Tehran , Iran	2004 WAFF Championship
23-Jun-04	W	2–1	Tehran , Iran	2004 WAFF Championship
25-Jun-04	W	4–1	Tehran , Iran	2004 WAFF Championship
20-Jul-04	W	3–0	Chongqing , China	2004 Asian Cup
24-Jul-04	D	2–2	Chongqing , China	2004 Asian Cup
28-Jul-04	D	0–0	Chongqing , China	2004 Asian Cup
31-Jul-04	W	4–3	Jinan , China	2004 Asian Cup
03-Aug-04	D	1–1	Beijing , China	2004 Asian Cup
06-Aug-04	W	4–2	Beijing , China	2004 Asian Cup
08-Sep-04	W	2–0	Amman , Jordan	2006 World Cup Qualifier
09-Oct-04	L	0–2	Tehran , Iran	Friendly
13-Oct-04	W	3–2	Doha , Qatar	2006 World Cup Qualifier
17-Nov-04	W	7–0	Tehran , Iran	2006 World Cup Qualifier
18-Dec-04	W	1–0	Tehran , Iran	Friendly
02-Feb-05	W	2–1	Tehran , Iran	Friendly
09-Feb-05	D	0–0	Riffa , Bahrain	2006 World Cup Qualifier
25-Mar-05	W	2–1	Tehran , Iran	2006 World Cup Qualifier
30-Mar-05	W	2–0	Pyongyang , North Korea	2006 World Cup Qualifier
29-May-05	W	2–1	Tehran , Iran	Friendly
03-Jun-05	W	1–0	Tehran , Iran	2006 World Cup Qualifier
08-Jun-05	W	1–0	Tehran , Iran	2006 World Cup Qualifier
17-Aug-05	L	1–2	Yokohama , Japan	2006 World Cup Qualifier
24-Aug-05	W	4–0	Tehran , Iran	Friendly
12-Oct-05	L	0–2	Seoul , South Korea	Friendly
11-Nov-05	W	2–0	Tehran , Iran	Friendly
22-Feb-06	W	4–0	Tehran , Iran	2007 Asian Cup Qualifier
01-Mar-06	W	3–2	Tehran , Iran	Friendly
28-May-06	D	2–2	Osijek , Croatia	Friendly
31-May-06	W	5–2	Tehran , Iran	Friendly
11-Jun-06	L	1–3	Nuremberg , Germany	2006 World Cup
17-Jun-06	L	0–2	Frankfurt , Germany	2006 World Cup
21-Jun-06	D	1–1	Leipzig , Germany	2006 World Cup
08-Aug-06	W	1–0	Tehran , Iran	Friendly
16-Aug-06	D	1–1	Tehran , Iran	2007 Asian Cup Qualifier
02-Sep-06	D	1–1	Seoul , South Korea	2007 Asian Cup Qualifier
06-Sep-06	W	2–0	Damascus , Syria	2007 Asian Cup Qualifier
04-Oct-06	W	2–0	Amman , Jordan	2006 LG Cup
