Game	November	Opponent	Score	Decision	Record
12	1	Washington Capitals	2 - 0	Lundqvist	5-6-1
13	3	New Jersey Devils	2 - 1 SO	Lundqvist	6-6-1
14	5	Philadelphia Flyers	2 - 0	Lundqvist	7-6-1
15	6	@ New York Islanders	3 - 2	Lundqvist	7-7-1
16	8	Pittsburgh Penguins	4 - 2	Lundqvist	8-7-1
17	10	@ Toronto Maple Leafs	3 - 2 SO	Valiquette	9-7-1
18	14	@ New Jersey Devils	4 - 2	Lundqvist	10-7-1
19	15	@ Philadelphia Flyers	4 - 3 SO	Lundqvist	11-7-1
20	17	@ Pittsburgh Penguins	4 - 3 OT	Lundqvist	12-7-1
21	19	New York Islanders	2 - 1	Lundqvist	12-8-1
22	21	@ Tampa Bay Lightning	2 - 1	Lundqvist	13-8-1
23	23	@ Florida Panthers	3 - 2 SO	Valiquette	13-8-2
24	25	Dallas Stars	3 - 2	Lundqvist	13-9-2
25	29	New York Islanders	4 - 2	Lundqvist	14-9-2
