Series #	Season #	Title	Directed by	Written by	Original air date	U.S. viewers (in millions)
21	1	"Friends Close, Enemies Closer"	Patrick Norris	Joanna Johnson	June28,2010	1.83
22	2	"All or Nothing"	Fred Gerber	Kerry Lenhart & John J. Sakmar	July5,2010	1.72
23	3	"Battle of the Flexes"	J. Miller Tobin	Amy Turner	July13,2010	1.56
24	4	"And the Rocky Goes To..."	Bethany Rooney	Holly Sorensen	July20,2010	1.46
25	5	"I Won't Dance, Don't Ask Me"	David Paymer	Michael Gans & Richard Register	July27,2010	1.66
26	6	"Party Gone Out of Bounds"	Felix Alcala	Joanna Johnson	August3,2010	1.75
27	7	"What Are You Made Of?"	Glenn L. Steelman	Holly Sorensen	August10,2010	1.56
28	8	"Rock Bottom"	Chris Grismer	Liz Maccie	August17,2010	1.30
29	9	"If Only..."	David Paymer	Michael Gans & Richard Register	August24,2010	1.42
30	10	"At the Edge of the Worlds"	Chris Grismer	Kerry Lenhart & John J. Sakmar	August31,2010	1.44
31	11	"The New Normal"	Michael Lange	Holly Sorensen	March28,2011	2.06
32	12	"Free People"	Fred Gerber	Joanna Johnson	April4,2011	1.69
33	13	"The Buddy System"	Glenn L. Steelman	Amy Turner	April11,2011	1.64
34	14	"Life or Death"	David Paymer	Michael Gans & Richard Register	April18,2011	1.58
35	15	"Hungary Heart"	Rod Hardy	Kerry Lenhart & John J. Sakmar	April25,2011	1.64
36	16	"Requiem for a Dream"	Michael Schultz	Holly Sorenson	May2,2011	1.65
37	17	"To Thine Own Self Be True"	John Behring	Liz Maccie	May9,2011	1.51
38	18	"Dog Eat Dog"	Chris Grismer	Michael Gans & Richard Register	May16,2011	1.64
39	19	"What Lies Beneath"	David Paymer	Joanna Johnson	May23,2011	1.49
