In English	In Finnish	In Swedish	Capital	Regional state administrative agency
Lapland	Lappi	Lappland	Rovaniemi	Lapland
Northern Ostrobothnia	Pohjois-Pohjanmaa	Norra Österbotten	Oulu	Northern Finland
Kainuu	Kainuu	Kajanaland	Kajaani	Northern Finland
North Karelia	Pohjois-Karjala	Norra Karelen	Joensuu	Eastern Finland
Northern Savonia	Pohjois-Savo	Norra Savolax	Kuopio	Eastern Finland
Southern Savonia	Etelä-Savo	Södra Savolax	Mikkeli	Eastern Finland
Southern Ostrobothnia	Etelä-Pohjanmaa	Södra Österbotten	Seinäjoki	Western and Central Finland
Central Ostrobothnia	Keski-Pohjanmaa	Mellersta Österbotten	Kokkola	Western and Central Finland
Ostrobothnia	Pohjanmaa	Österbotten	Vaasa	Western and Central Finland
Pirkanmaa	Pirkanmaa	Birkaland	Tampere	Western and Central Finland
Central Finland	Keski-Suomi	Mellersta Finland	Jyväskylä	Western and Central Finland
Satakunta	Satakunta	Satakunda	Pori	South-Western Finland
Finland Proper	Varsinais-Suomi	Egentliga Finland	Turku	South-Western Finland
South Karelia	Etelä-Karjala	Södra Karelen	Lappeenranta	Southern Finland
Päijänne Tavastia	Päijät-Häme	Päijänne Tavastland	Lahti	Southern Finland
Tavastia Proper	Kanta-Häme	Egentliga Tavastland	Hämeenlinna	Southern Finland
Uusimaa	Uusimaa	Nyland	Helsinki	Southern Finland
Kymenlaakso	Kymenlaakso	Kymmenedalen	Kouvola	Southern Finland
Åland Islands	Ahvenanmaa	Åland	Mariehamn	Åland
