No. in series	No. in season	Title	Directed by	Written by	Original U.S. air date	Prod. code
22	1	"Damage Control"	Farhad Mann	Bruce Kalish	February24,2010	201
23	2	"In The Game of The Father"	Farhad Mann	Dan Cross & David Hoge	February24,2010	202
24	3	"Gauntlet, But Not Forgotten"	Larry McLean	Sean Cunningham & Marc Dworkin	March3,2010	203
25	4	"Photography"	Larry McLean	Bruce Kalish	March10,2010	204
26	5	"Face-Off"	Andrew Potter	Dan Cross & David Hoge	March17,2010	205
27	6	"My Own Private Superhero"	Andrew Potter	John Tellegen	March24,2010	206
28	7	"Resident Weevil"	Mike McGowan	Sean Cunningham & Marc Dworkin	June16,2010	207
29	8	"Run Aaron, Run"	Mike McGowan	Andrew Black	June23,2010	208
30	9	"Pack-Man"	Andrew Potter	Dan Cross & David Hoge	June30,2010	209
31	10	"Tracker & Field"	Andrew Potter	Sean Cunningham & Marc Dworkin	July7,2010	210
32	11	"Metal Gear Liquid"	Mario Azzopardi	Andrew Black	July14,2010	211
33	12	"Sparks"	Mario Azzopardi	Dan Cross & David Hoge	July21,2010	212
34	13	"Mutant Rain"(Part 1)	David Wu	Bruce Kalish	July30,2010	213
