Date	Opponent	Score	Loss	Attendance	Record
May 2	Mets	6 - 4	Gentry (2-1)	14,702	17-7
May 3	Mets	3 - 2	Koonce (0-3)	23,228	18-7
May 4	Mets	3 - 2	Hands (3-3)	0	18-8
May 4	Mets	3 - 2	Selma (2-3)	40,484	18-9
May 6	Dodgers	7 - 1	Sutton (3-3)	7,253	19-9
May 7	Dodgers	4 - 2 12	Jenkins (4-2)	9,747	19-10
May 9	Giants	11 - 1	Hands (3-4)	5,189	19-11
May 11	Giants	8 - 0	Sadecki (2-4)	18,572	20-11
May 12	Padres	2 - 0	Ross (1-2)	3,887	21-11
May 13	Padres	19 - 0	Kelley (2-3)	5,080	22-11
May 14	Padres	3 - 2	Podres (3-3)	9,622	23-11
May 16	@ Astros	11 - 0	Dierker (5-4)	17,053	24-11
May 17	@ Astros	5 - 4	Nottebart (1-1)	18,307	24-12
May 18	@ Astros	6 - 5	Regan (5-1)	13,126	24-13
May 20	@ Dodgers	7 - 0	Sutton (4-4)	21,266	25-13
May 21	@ Dodgers	3 - 1	Hands (3-5)	16,688	25-14
May 22	@ Dodgers	3 - 0	Singer (5-4)	17,974	26-14
May 23	@ Padres	6 - 0	Ross (1-4)	7,936	27-14
May 24	@ Padres	7 - 5	Kelley (2-4)	4,432	28-14
May 25	@ Padres	10 - 2	Nye (0-3)	0	28-15
May 25	@ Padres	1 - 0	J. Niekro (1-3)	13,115	29-15
May 27	@ Giants	5 - 4	Regan (5-2)	6,608	29-16
May 28	@ Giants	9 - 8	Robertson (1-1)	4,447	30-16
May 30	Braves	2 - 0	Reed (5-3)	36,075	31-16
May 31	Braves	3 - 2	P. Niekro (7-4)	29,778	32-16
