Week 8 Oct 26	Week 10 Nov 9	Week 11 Nov 16	Week 12 Nov 23	Week 13 Nov 30	Week 14 (Final) Dec 7
UCLA (6-0)	Tennessee (8-0)	Tennessee (9-0)	Tennessee (10-0)	Tennessee (11-0)	Tennessee (12-0)
Ohio State (7-0)	UCLA (8-0)	UCLA (9-0)	UCLA (10-0)	UCLA (10-0)	Florida State (11-1)
Tennessee (6-0)	Kansas State (9-0)	Kansas State (10-0)	Kansas State (11-0)	Kansas State (11-0)	Kansas State (11-1)
Kansas State (7-0)	Florida State (9-1)	Florida State (10-1)	Florida State (11-1)	Florida State (11-1)	Ohio State (10-1)
Florida State (7-1)	Florida (8-1)	Florida (9-1)	Texas A&M (10-1)	Ohio State (10-1)	UCLA (10-1)
Nebraska (7-1)	Texas A&M (9-1)	Texas A&M (10-1)	Ohio State (10-1)	Arizona (11-1)	Texas A&M (11-2)
Florida (6-1)	Arkansas (8-0)	Ohio State (9-1)	Arizona (10-1)	Florida (9-2)	Arizona (11-1)
Texas A&M (7-1)	Ohio State (8-1)	Arizona (10-1)	Florida (9-2)	Texas A&M (10-2)	Florida (9-2)
Wisconsin (8-0)	Wisconsin (9-0)	Arkansas (8-1)	Notre Dame (9-1)	Wisconsin (10-1)	Wisconsin (10-1)
Penn State (5-1)	Arizona (9-1)	Notre Dame (8-1)	Wisconsin (10-1)	Tulane (11-0)	Tulane (11-0)
Oregon (6-1)	Nebraska (8-2)	Oregon (8-2)	Tulane (10-0)	Nebraska (9-3)	Nebraska (9-3)
Arkansas (6-0)	Notre Dame (7-1)	Michigan (7-2)	Nebraska (8-3)	Georgia Tech (9-2)	Virginia (9-2)
Georgia (6-1)	Missouri (7-2)	Wisconsin (9-1)	Arkansas (8-2)	Arkansas (9-2)	Arkansas (9-2)
Arizona (7-1)	Oregon (7-2)	Nebraska (8-3)	Michigan (8-3)	Virginia (9-2)	Georgia Tech (9-2)
Virginia (6-1)	Texas (7-2)	Georgia (7-2)	Georgia (8-2)	Syracuse (8-3)	Syracuse (8-3)
Notre Dame (5-1)	Tulane (8-0)	Tulane (9-0)	Air Force (10-1)	—	—
Georgia Tech (5-2)	Georgia (6-2)	Penn State (7-2)	Virginia (8-2)	—	—
Missouri (5-2)	Penn State (6-2)	Air Force (9-1)	Oregon (8-3)	—	—
Tulane (6-0)	Michigan (7-2)	Missouri (7-3)	Georgia Tech (8-2)	—	—
Syracuse (4-2)	Virginia Tech (7-1)	USC (7-3)	Miami (FL) (7-2)	—	—
—	—	Virginia (8-2)	—	—	—
—	—	Georgia Tech (7-2)	—	—	—
—	—	Texas (7-3)	—	—	—
—	—	Miami (FL) (6-2)	—	—	—
