Driver	Constructor	Laps	Time/Retired	Grid
Graham Hill	Lotus - Ford	65	1:56:43.95	3
Bruce McLaren	McLaren - Ford	65	+ 1:19.32	9
Jackie Oliver	Lotus - Ford	65	+ 1:40.65	14
Pedro Rodríguez	BRM	65	+ 1:41.09	12
Jo Bonnier	Honda	64	+ 1 Lap	18
Jo Siffert	Lotus - Ford	64	+ 1 Lap	1
Jackie Stewart	Matra - Ford	64	+ 1 Lap	7
Vic Elford	Cooper - BRM	63	+ 2 Laps	17
Henri Pescarolo	Matra	62	+ 3 Laps	20
Jack Brabham	Brabham - Repco	59	Oil Pressure	8
Johnny Servoz-Gavin	Matra - Ford	57	Ignition	16
Dan Gurney	McLaren - Ford	28	Suspension	5
Piers Courage	BRM	25	Engine	19
Lucien Bianchi	Cooper - BRM	21	Engine	21
John Surtees	Honda	17	Overheating	6
Chris Amon	Ferrari	16	Transmission	2
Moisés Solana	Lotus - Ford	14	Broken wing	11
Denny Hulme	McLaren - Ford	10	Suspension	4
Jean-Pierre Beltoise	Matra	10	Suspension	13
Jacky Ickx	Ferrari	3	Ignition	15
Jochen Rindt	Brabham - Repco	2	Ignition	10
