District	Incumbent	Party	First elected	Results	Candidates
California 7	George Miller	Democratic	1974	Re-elected	George Miller (D) 83.9% Camden McConnell (L) 16.1%
California 10	Ellen Tauscher	Democratic	1996	Re-elected	Ellen Tauscher (D) 66.5% Darcy Linn (R) 33.5%
California 11	Richard Pombo	Republican	1992	Lost re-election Democratic gain	Jerry McNerney (D) 53.2% Richard Pombo (R) 46.8%
California 12	Tom Lantos	Democratic	1980	Re-elected	Tom Lantos (D) 76.1% Michael Moloney (R) 23.9%
California 13	Pete Stark	Democratic	1972	Re-elected	Pete Stark (D) 74.9% George Bruno (R) 25.1%
California 15	Mike Honda	Democratic	2000	Re-elected	Mike Honda (D) 72.4% Raymond Chukwu (R) 27.6%
California 16	Zoe Lofgren	Democratic	1994	Re-elected	Zoe Lofgren (D) 72.8% Charel Winston (R) 27.2%
California 17	Sam Farr	Democratic	1992	Re-elected	Sam Farr (D) 75.9% Anthony DeMaio (R) 22.6%
California 18	Dennis Cardoza	Democratic	2002	Re-elected	Dennis Cardoza (D) 65.4% John Kanno (R) 34.6%
California 19	George Radanovich	Republican	1996	Re-elected	George Radanovich (R) 60.6% T.J. Cox (D) 39.4%
California 20	Jim Costa	Democratic	2004	Re-elected	' Jim Costa (D) unopposed
California 22	Bill Thomas	Republican	1978	Retired Republican hold	Kevin McCarthy (R) 70.8% Sharon Beery (D) 29.2%
California 23	Lois Capps	Democratic	1998	Re-elected	Lois Capps (D) 65.2% Victor Tognazzini (R) 34.8%
California 24	Elton Gallegly	Republican	1986	Re-elected	Elton Gallegly (R) 62.1% Jill Martinez (D) 37.9%
California 27	Brad Sherman	Democratic	1996	Re-elected	Brad Sherman (D) 68.8% Peter Hankwitz (R) 31.2%
California 31	Xavier Becerra	Democratic	1992	Re-elected	Xavier Becerra (D) unopposed
California 32	Hilda Solis	Democratic	2000	Re-elected	Hilda Solis (D) 83.0% Leland Faegre (L) 17.0%
California 33	Diane Watson	Democratic	2001	Re-elected	Diane Watson (D) unopposed
California 38	Grace Napolitano	Democratic	1998	Re-elected	Grace Napolitano (D) 75.4% Sid Street (R) 24.6%
California 39	Linda Sánchez	Democratic	2002	Re-elected	Linda Sánchez (D) 65.9% James Andion (R) 34.1%
California 41	Jerry Lewis	Republican	1978	Re-elected	Jerry Lewis (R) 67.0% Louis Contreras (D) 33.0%
California 42	Gary Miller	Republican	1998	Re-elected	Gary Miller (R) unopposed
California 43	Joe Baca	Democratic	1999	Re-elected	Joe Baca (D) 64.5% Scott Folkens (R) 35.5%
California 45	Mary Bono	Republican	1998	Re-elected	Mary Bono (R) 60.7% David Roth (D) 39.3%
