Season	Series	Points	Position	Driver
2001	Queensland Formula Ford Championship	216	2nd	Chris Gilmour
2002	Queensland Formula Ford Championship	234	2nd	Chris Gilmour
2003	Queensland Formula Ford Championship	222	1st	Chris Gilmour
2004	Australian Formula 3 Championship	235	2nd	Chris Gilmour
2005	Australian Formula 3 Championship	142^	4th^	Chris Gilmour
2006	Australian Formula 3 Championship	150^	4th^	Chris Gilmour
2007	Australian Formula 3 Championship	52^^	8th^^	Chris Gilmour
2008	Australian Formula 3 Championship - National Class	228	1st	Chris Gilmour
2009	Australian Formula 3 Championship - National Class	93^^	4th^^	Chris Gilmour
2010	Australian Formula 3 Championship	90^^	5th^^	Chris Gilmour
2011	Australian Formula 3 Championship	210	1st	Chris Gilmour
