Position	Building	City	Height	Number of floors	Completion
1	Gran Torre Santiago	Santiago	300 m	70	2012
2	Titanium La Portada	Santiago	m (ft)	55	2010
3	Costanera Center Torre 1	Santiago	170 m	41	2012
3	Costanera Center Torre 2	Santiago	170 m	41	2012
4	Boulevard Kennedy (Marriot)	Santiago	140 m	40	1999
5	Torre Telefónica Chile	Santiago	132 m	32	1994
6	Torre Entel	Santiago	127 m	0	1974
7	Torre de la Industria	Santiago	120 m	33	1994
8	Territoria 3000	Santiago	118 m	31	2008
9	Torre Mall Center	Concepción	115 m	31	2009
9	Torre Centenario	Santiago	115 m	31	2000
