City of license	Identifier	Frequency	Power	Class	RECNet
Blind River	CBON-6	1010 AM	40 s watt	LP	Query
Chapleau	CBON-FM-28	91.9	345 watts	A	Query
Dubreuilville	CBON-FM-11	97.9	50 watts	LP	Query
Elliot Lake	CBON-FM-5	101.7	2640 watts	B	Query
Espanola	CBON-FM-7	94.9	520 watts	A	Query
Geraldton	CBON-FM-22	93.7	6400 watts	B	Query
Gogama	CBON-FM-21	104.9	6900 watts	B	Query
Hearst	CBON-FM-26	90.3	8,340 watts	B1	Query
Kapuskasing	CBON-FM-24	90.7	43900 watts	B	Query
Kirkland Lake	CBON-FM-1	93.7	2650 watts	A	Query
Manitouwadge	CBON-FM-23	96.9	143 watts	A	Query
Marathon	CBON-FM-29	102.3	2023 watts	B	Query
Matachewan	CBON-10	1110 AM	40 watts	LP	Query
Mattawa	CBON-12	1090 AM	40 watts	LP	Query
Nipigon	CBON-FM-19	97.3	2000 watts	B	Query
North Bay	CBON-FM-17	95.1	100000 watts	C	Query
Sault Ste. Marie	CBON-FM-18	88.1	3590 watts	B	Query
Temiskaming Shores	CBON-FM-2	99.7	780 watts	A	Query
Thunder Bay	CBON-FM-20	89.3	27400 watts	B	Query
Timmins	CBON-FM-25	97.1	44800 watts	B	Query
Wawa	CBON-FM-27	90.7	890 watts	A	Query
