Date	Founder	Extroversion Scales	People-task orientation scale	Introverted, Task-Oriented	Extroverted, Task-Oriented	Extroverted, Relationship-Oriented	Introverted, Relationship Oriented	Moderate
c. 450 BC	Classical elements	Scales not recognized	Areas not recognized	earth	fire	air	water	ether
c. 400 BC	Hippocrates 's four humours	Scales not recognized	Areas not recognized	black bile	yellow bile	blood	phlegm	Not Recognized
c. 190	Galen 's four temperaments	response-delay (quick, slow)	response-sustain (short, long)	melancholic	choleric	sanguine	phlegmatic	Not Recognized
c. 1900	Alfred Adler 's four Styles of Life	"activity"	"social interest"	Avoiding	Ruling or Dominant	Socially Useful	Getting or Leaning	Not Recognized
c. 1928	William Marston and John G. Geier DiSC assessment	Assertive/ Passive	Open/ Controlled	Conscien- tiousness	Dominance	Influence	Steadiness	Not Recognized
c. 1947	Eric Fromm 's four Types of Character	assimilation	socialization	Hoarding	Exploitative	Marketing	Receptive	Not Recognized
1958	MBTI codes	E/I,	Informative/Directive (mapped by David Keirsey )	ISTJ, INTJ, ISTP, INFJ	ESTJ, ENTJ, ESTP, ENFJ	ESFP, ENFP, ESFJ, ENTP	ISFP, INFP, ISFJ, INTP	Not Recognized
c. 1958	William Schutz, FIRO -B	Expressed	Wanted	See FIRO article for score names.	See FIRO article for score names.	See FIRO article for score names.	See FIRO article for score names.	See FIRO article for score names.
c. 1960s	Stuart Atkins LIFO's four Orientations To Life	Planning vs.Doing	Directing vs. Inspiring	Conserving-Holding	Controlling-Taking	Adapting-Dealing	Supporting-Giving	Not Recognized
c. 1960s	David Merrill, " Social Styles "	Assertiveness (Ask-Tell)	Responsiveness (Control-Emote)	Analytical	Driving	Expressive	Amiable	Not Recognized
1964	Blake-Mouton Managerial Grid Model	Concern for People, Productivity	Areas not distinguished	Impoverished	Produce or Perish	Team Type	Country Club	Middle of the Road
c. 1966	Temperament by LaHaye	Compares other instruments	Areas not distinguished	Melancholy	Choleric	Sanguine	Phlegmatic	"passive sanguine"
1973	Jay Hall Conflict Management	Concern for personal goals	Concern for relationships	Leave-lose/win	Win/lose	Synergistic; Win/win	Yield-lose/win	Mini-win/mini-lose
1974	Thomas-Kilmann Conflict Modes	Assertiveness	Cooperativeness	Avoiding	Competing	Collaborating	Accommodating	Compromising
c. 1984	The Arno Profile System( Five Temperaments )	Expressive	Responsive	Melancholy	Choleric	Sanguine	Supine	Phlegmatic
c. 1995	Worley Identification Discovery Profile	Demonstrated, Desired	Social, Leadership, Relationship	Melancholy	Choleric	Sanguine	Phlegmatic	Introverted Sanguine
c. 1996	Tony Alessandra Personality Styles	Indirect/Direct	Open/Guarded	Thinker	Director	Socializer	Relater	Not Recognized
c. 1998	Hartman Personality Profile	Not recognized	Not recognized	Blue	Red	Yellow	White	Not recognized
