Rank	Heat	Lane	Name	Nationality	Time
1	6	4	Michael Phelps	United States	1:53.70
2	4	2	László Cseh	Hungary	1:54.48
3	6	3	Kaio de Almeida	Brazil	1:54.65
4	6	6	Takeshi Matsuda	Japan	1:55.06
5	4	4	Paweł Korzeniowski	Poland	1:55.21
6	6	5	Nikolay Skvortsov	Russia	1:55.33
7	5	5	Wu Peng	China	1:55.39
8	5	4	Gil Stovall	United States	1:55.42
9	5	7	Michael Rock	Great Britain	1:55.55
10	4	5	Moss Burmester	New Zealand	1:55.80
11	5	3	Ryuichi Shibata	Japan	1:55.82
12	4	6	Dinko Jukić	Austria	1:55.96
13	4	1	Ioan Gherghel	Romania	1:56.09
14	6	1	Sergiy Advena	Ukraine	1:56.24
15	5	6	Chen Yin	China	1:56.55
16	3	2	Hsu Chi-chieh	Chinese Taipei	1:56.59
17	5	2	Christophe Lebon	France	1:56.63
18	6	2	Travis Nederpelt	Australia	1:56.64
19	6	7	Mathieu Fonteyn	Belgium	1:56.65
20	4	7	Niccolo Beni	Italy	1:56.99
21	4	3	Denys Sylantyev	Ukraine	1:57.02
22	5	1	Tamás Kerékjártó	Hungary	1:57.29
23	6	8	Juan Veloz	Mexico	1:57.32
24	3	6	Pedro Oliveira	Portugal	1:57.41
25	4	8	Adam Sioui	Canada	1:57.45
26	3	5	Simon Sjödin	Sweden	1:57.75
27	5	8	Romanos Alyfantis	Greece	1:57.99
28	3	8	Alon Mandel	Israel	1:59.27
29	2	5	James Walsh	Philippines	1:59.39
30	3	3	Omar Pinzón	Colombia	1:59.47
31	1	3	Nikša Roki	Croatia	1:59.58
32	2	1	Javier Núñez	Spain	2:00.24
33	2	7	Andrés José González	Argentina	2:00.36
34	2	6	Yoo Jung-Nam	South Korea	2:01.00
35	3	4	Jeremy Knowles	Bahamas	2:01.08
36	2	8	Alexis Márquez Rivas	Venezuela	2:01.25
37	3	7	Daniel Bego	Malaysia	2:01.28
38	2	3	Douglas Lennox-Silva	Puerto Rico	2:01.69
39	3	1	Georgi Palazov	Bulgaria	2:01.84
40	1	5	Rehan Poncha	India	2:01.89
41	1	4	Emmanuel Crescimbeni	Peru	2:02.13
42	1	6	Javier Hernández Maradiaga	Honduras	2:02.23
43	2	4	Vladan Marković	Serbia	2:03.12
44	2	2	Donny Utomo	Indonesia	2:03.44
