Position	Jersey #	Name	Height (in)	Weight (lb)	Birthdate	Birthplace	2010–2011 Team
G	1	Jack Campbell	182	6'2	January 1, 1992	Port Huron, Michigan	Windsor Spitfires
G	29	Ty Conklin	192	6'1	March 30, 1976	Anchorage, Alaska	St. Louis Blues
G	35	Al Montoya	195	6'2	February 13, 1985	Glenview, Illinois	New York Islanders
D	34	Mark Fayne	215	6'3	May 5, 1987	Nashua, New Hampshire	New Jersey Devils
D	7	Cam Fowler	196	6'1	December 5, 1991	Farmington Hills, Michigan	Anaheim Ducks
D	27	Jake Gardiner	205	6'1	July 4, 1990	Minnetonka, Minnesota	Toronto Marlies
D	3	Jack Johnson	219	6'1	January 1, 1987	Ann Arbor, Michigan	Los Angeles Kings
D	8	Mike Komisarek	193	6'4	January 19, 1982	Islip Terrace, New York	Toronto Maple Leafs
D	2	Ryan McDonagh	213	6'1	June 13, 1989	St. Paul, Minnesota	New York Rangers
D	3	Kevin Shattenkirk	193	5'11	January 29, 1989	New Rochelle, New York	St. Louis Blues
D	5	Mark Stuart	213	6'2	April 27, 1984	Rochester, Minnesota	Atlanta Thrashers
D	4	Clay Wilson	195	6'0	April 5, 1983	Sturgeon Lake, Minnesota	Florida Panthers
F	18	Mike Brown	195	5'11	June 24, 1985	Northbrook, Illinois	Toronto Maple Leafs
F	28	Paul Gaustad	212	6'5	February 3, 1982	Fargo, North Dakota	Buffalo Sabres
F	19	Chris Kreider	205	6'2	April 30, 1991	Boxford, Massachusetts	Boston College
F	21	Andy Miele	180	5'9	April 15, 1988	Grosse Pointe Woods, Michigan	Miami University
F	25	Nick Palmieri	220	6'3	July 12, 1989	Utica, New York	New Jersey Devils
F	24	Chris Porter	220	6'1	May 29, 1984	Faribault, Minnesota	St. Louis Blues
F	26	Ryan Shannon	175	5'9	March 2, 1983	Darien, Connecticut	Ottawa Senators
F	20	Jack Skille	215	6'1	May 19, 1987	Madison, Wisconsin	Florida Panthers
F	15	Craig Smith	196	6'0	September 5, 1989	Madison, Wisconsin	University of Wisconsin
F	23	Tim Stapleton	180	5'9	June 19, 1982	Forest Park, Illinois	Atlanta Thrashers
F	22	Yan Stastny	191	5'10	September 30, 1982	St. Louis, Missouri	CSKA Moscow
F	9	Derek Stepan	182	6'0	June 18, 1990	Hastings, Minnesota	New York Rangers
F	16	James van Riemsdyk	200	6'3	May 4, 1989	Middletown, New Jersey	Philadelphia Flyers
F	17	Blake Wheeler	205	6'5	August 31, 1986	Robbinsdale, Minnesota	Atlanta Thrashers
