Year	Place	Gold	Silver	Bronze
1970	Phoenix	Peter Cheng ( HKG )	Valeri Postoianov ( URS )	Jogan Nikitin ( URS )
1973	Stockport	Peter Cheng ( HKG )	Alexander Kediarov ( URS )	Helmut Bellingrodt ( COL )
1974	Berne	Peter Cheng ( HKG )	Alexander Kediarov ( URS )	Alexander Gazov ( URS )
1978	Seoul	Peter Cheng ( HKG )	Guenther Danne ( FRG )	Ezio Cini ( ITA )
1979	Linz	Peter Cheng ( HKG )	Igor Sokolov ( URS )	Gyula Szabo ( HUN )
1981	Mala	Aleksei Rudnizkiy ( URS )	Alexander Ivanchikhin ( URS )	Tibor Bodnar ( HUN )
1982	Caracas	Nikolai Dedov ( URS )	Yuri Kadenatsy ( URS )	Jerzy Greszkiewicz ( POL )
1983	Edmonton	Sergei Savostianov ( URS )	Nikolai Dedov ( URS )	Jerzy Greszkiewicz ( POL )
1986	Suhl	Attila Solti ( HUN )	Shiping Huang ( CHN )	Yuwei Li ( CHN )
1990	Moscow	Ronghui Zhang ( CHN )	Gennadi Avramenko ( URS )	Manfred Kurzer ( GDR )
1994	Milan	Lubos Racansky ( CZE )	Gennadi Avramenko ( UKR )	Miroslav Janus ( CZE )
2002	Lahti	Jozsef Sike ( HUN )	Emil Andersson ( SWE )	Lubomir Pelach ( SVK )
2006	Zagreb	Lukasz Czapla ( POL )	Peter Pelach ( SVK )	Bedrich Jonas ( CZE )
2008	Plzeň	Alexander Blinov ( RUS )	Peter Pelach ( SVK )	Alexander Zinenko ( UKR )
2009	Heinola	Peter Cheng ( HKG )	Staffan Holmström ( FIN )	Niklas Bergström ( SWE )
