Event	Time	Date	Meet	Location
50m freestyle	23.82	17 November 2007	World Cup	Berlin , Germany
100m freestyle	51.88	18 December 2010	World Championships	Dubai , United Arab Emirates
200m freestyle	1:51.67	19 December 2009	Duel in the Pool	Manchester , United Kingdom
400m freestyle	3:55.89	18 December 2009	Duel in the Pool	Manchester , United Kingdom
800m freestyle	8:08.00	14 October 2007	Alex Athletics Jubliäums Challenge	Essen , Germany
1500m freestyle	15:32.90	14 October 2007	Alex Athletics Jubliäums Challenge	Essen , Germany
50m backstroke	26.16	16 December 2012	World Championships	Istanbul , Turkey
100m backstroke	55.97	16 December 2011	Duel in the Pool	Atlanta , United States
200m backstroke	2:00.03	22 October 2011	World Cup	Berlin , Germany
50m breaststroke	28.80	15 November 2009	World Cup	Berlin , Germany
100m breaststroke	1:02.70	19 December 2009	Duel in the Pool	Manchester , United Kingdom
200m breaststroke	2:14.57	18 December 2009	Duel in the Pool	Manchester , United Kingdom
50m butterfly	25.17	15 November 2009	World Cup	Berlin , Germany
100m butterfly	55.59	30 October 2010	World Cup	Berlin , Germany
200m butterfly	2:03.20	6 August 2009	British Grand Prix	Leeds , United Kingdom
100m individual medley	58.65	16 December 2010	World Championships	Dubai , United Arab Emirates
200m individual medley	2:04.60	19 December 2009	Duel in the Pool	Manchester , United Kingdom
400m individual medley	4:21.04	18 December 2009	Duel in the Pool	Manchester , United Kingdom
4×50m freestyle relay	1:37.27	18 March 2004	NCAA Division I Championships	College Station , United States
4×100m freestyle relay	3:28.46	17 December 2011	Duel in the Pool	Atlanta , United States
4×200m freestyle relay	7:38.42	15 December 2010	World Championships	Dubai , United Arab Emirates
4×50m medley relay	1:49.71	17 March 2000	NCAA Division I Championships	Indianapolis , United States
4×100m medley relay	3:45.56	16 December 2011	Duel in the Pool	Atlanta , United States
