Year	Show	Season	Episode	Notes
2012	The Walking Dead	3	16	31 March 2013
2012	The Walking Dead	3	1	14 October 2012
2012	Dexter	7	5	28 October 2012
2012	Treme	3	8	11 Novembre 2012
2012	Treme	3	4	14 October 2012
2011	The Walking Dead	2	13	18 March 2012
2011	The Walking Dead	2	10	26 February 2012
2011	The Walking Dead	2	2	23 October 2011
2011	The Walking Dead	2	1	16 October 2011
2011	Dexter	6	11	11 December 2011
2011	Dexter	6	8	20 November 2011
2011	Treme	2	11	3 July 2011
2011	Treme	2	8	12 June 2011
2010	The Walking Dead	1	5	28 November 2010
2010	Treme	1	3	25 April 2010
2009	Dexter	4	8	15 November 2009
2009	Stargate Universe	1	7	6 November 2009
2009	The Vampire Diaries	1	7	29 October 2009
2009	Lincoln Heights	4	7	26 October 2009
2009	Lincoln Heights	4	5	12 October 2009
2009	Burn Notice	3	7	23 July 2009
2009	In Plain Sight	2	8	14 June 2009
2009	Law & Order	19	20	13 May 2009
2009	Medium	5	8	30 March 2009
2009	Burn Notice	2	14	19 February 2009
2009	Fear Itself	1	9	3 January 2009
2008	Dexter	3	6	2 November 2008
2008	Lincoln Heights	3	4	7 October 2008
2008	Eureka	3	5	26 August 2008
2008	The Wire	5	2	13 January 2008
2007	Lincoln Heights	2	7	16 October 2007
2007	Weeds	3	12	29 October 2007
2007	Weeds	3	9	8 October 2007
2007	Tell Me You Love Me	1	6	14 October 2007
2007	The 4400	4	1	17 June 2007
2006	The Wire	4	13	10 December 2006 Season finale
2006	The Wire	4	10	19 November 2006
2006	ER	13	8	16 November 2006
2006	Masters Of Horror	2	3	10 November 2006
2006	Heroes	1	4	16 October 2006
2006	The Evidence	1	8	1 July 2006
2006	For One Night	For One Night	For One Night	6 February 2006 Television feature
2006	CSI: Miami	4	13	23 January 2006
2005	Invasion	1	8	16 November 2005
2005	Criminal Minds	1	6	2 November 2005
2005	Crossing Jordan	5	6	30 October 2005
2005	ER	11	20	5 May 2005
2005	The L Word	2	7	3 April 2005
2005	Miracle's Boys	1	2	19 February 2005 Mini-series
2005	ER	11	13	3 February 2005
2004	The Wire	3	12	19 December 2004 Season finale
2004	The Wire	3	4	10 October 2004
2004	Good Fences	Good Fences	Good Fences	29 October 2004 Television feature
2004	Third Watch	6	6	29 October 2004
2003	The Wire	2	11	17 August 3003
2002	Big Shot: Confessions of a Campus Bookie	Big Shot: Confessions of a Campus Bookie	Big Shot: Confessions of a Campus Bookie	31 March 2002 Television feature
2002	Monday Night Mayhem	Monday Night Mayhem	Monday Night Mayhem	14 January 2002 Television feature
2002	Our America	Our America	Our America	13 January 2002 Television feature
2001	Night Visions	1	18	30 August 2001
2001	Night Visions	1	16	23 August 2001
1999	Strange Justice	Strange Justice	Strange Justice	29 August 1999 Television feature
1998	Futuresport	Futuresport	Futuresport	1 October 1998 Television feature
1990	Great Performances	19	1	10 May 1990
