Tie no	Home team	Score	Away team	Date
1	Chester	2–0	Millwall	26 January 1980
2	Bristol City	1–2	Ipswich Town	26 January 1980
3	Bury	1–0	Burnley	26 January 1980
4	Watford	4–3	Harlow Town	26 January 1980
5	Nottingham Forest	0–2	Liverpool	26 January 1980
6	Blackburn Rovers	1–0	Coventry City	26 January 1980
7	Bolton Wanderers	2–0	Halifax Town	26 January 1980
8	Wolverhampton Wanderers	1–1	Norwich City	26 January 1980
Replay	Norwich City	2–3	Wolverhampton Wanderers	30 January 1980
9	Everton	3–0	Wigan Athletic	26 January 1980
10	Swindon Town	0–0	Tottenham Hotspur	26 January 1980
Replay	Tottenham Hotspur	2–1	Swindon Town	30 January 1980
11	Carlisle United	0–0	Wrexham	26 January 1980
Replay	Wrexham	3–1	Carlisle United	29 January 1980
12	Arsenal	2–0	Brighton & Hove Albion	26 January 1980
13	Birmingham City	2–1	Middlesbrough	26 January 1980
14	Cambridge United	1–1	Aston Villa	26 January 1980
Replay	Aston Villa	4–1	Cambridge United	30 January 1980
15	Orient	2–3	West Ham United	26 January 1980
16	Swansea City	4–1	Reading	26 January 1980
