Name	#	Position	Height	Weight	Year	Former school	Hometown
Ron Anderson Jr.	1	Forward	6–8	255	RS Junior	Kansas State / McCallie School	Upper Marlboro, MD
Mike Burwell	23	Guard	6–6	210	Freshman	South Kent School / Cardinal McCarrick HS	East Brunswick, NJ
Anthony Crater	10	Guard	6–1	170	Sophomore	Ohio State University / Brewster Academy	Flint, MI
B.J. Daniels	2	Guard	6–1	212	Sophomore	Lincoln HS	Tallahassee, FL
Jordan Dumars	4	Guard	6–5	225	Freshman	Detroit Country Day School	Detroit, MI
Toarlyn Fitzpatrick	32	Forward	6–8	230	Freshman	King HS	Tampa, FL
Augustus Gilchrist	24	Forward/Center	6–10	245	Sophomore	Maryland / Academy	Clinton, MD
Chris Howard	3	Guard	6–3	200	Senior	Friendly HS	Fort Washington, MD
Dominique Jones	20	Guard	6–4	215	Junior	Lake Wales HS	Lake Wales, FL
Ryan Kardok	13	Guard	6–3	188	Senior	Broward Community College / Stoneman Douglas HS	Parkland, FL
Justin Leemow	5	Guard	6–1	180	Somphomore	Mt. Zion Christian Academy	Brooklyn, NY
Mike Mercer	33	Guard	6–5	195	Senior	Georgia / South Gwinnett HS	Snellville, GA
Shaun Noriega	22	Guard	6–4	195	Freshman	North Port HS	North Port, FL
