Year	Tournament	Surface	Round	Winner	Score	Length	Ivanovic	Jankovic
2005	Zürich	Hard (i)	R16	Ivanovic	6–2, 6–1	0:51	1	0
2006	Los Angeles	Hard	QF	Jankovic	6–4, 7–6 (8–6)	1:37	1	1
2006	Montréal	Hard	R16	Ivanovic	Walkover	N/A	1	1
2007	Tokyo	Carpet (i)	QF	Ivanovic	3–6, 6–4, 6–2	1:42	2	1
2007	Amelia Island	Clay	Final	Ivanovic	7–5, 6–3	1:28	3	1
2007	Los Angeles	Hard	SF	Ivanovic	4–6, 6–3, 7–5	2:30	4	1
2008	Indian Wells	Hard	SF	Ivanovic	7–6 (7–3) , 6–3	1:25	5	1
2008	French Open	Clay	SF	Ivanovic	6–4, 3–6, 6–4	2:15	6	1
2008	Doha	Hard	Round Robin	Jankovic	6–3, 6–4	1:29	6	2
2010	Madrid	Clay	R32	Jankovic	4–6, 6–4, 6–1	1:50	6	3
2011	Indian Wells	Hard	R16	Ivanovic	6–4, 6–2	1:24	7	3
2013	Melbourne	Hard	R32	Ivanovic	7–5, 6–3	1:23	8	3
