Week	Date	Opponent	Result	Attendance
1	September 3, 1995	Carolina Panthers	W 23-20	58,808
2	September 10, 1995	at San Francisco 49ers	L 41-10	63,627
3	September 17, 1995	at New Orleans Saints	W 27-24	57,442
4	September 24, 1995	New York Jets	W 13-3	40,778
5	October 1, 1995	New England Patriots	W 30-17	47,114
6	Bye	Bye	Bye	Bye
7	October 12, 1995	at St. Louis Rams	L 21-19	59,700
8	October 22, 1995	at Tampa Bay Buccaneers	W 24-21	66,135
9	October 29, 1995	Dallas Cowboys	L 28-13	70,089
10	November 5, 1995	Detroit Lions	W 34-22	49,619
11	November 12, 1995	at Buffalo Bills	L 23-17	62,690
12	November 19, 1995	St. Louis Rams	W 31-6	46,309
13	November 26, 1995	at Arizona Cardinals	L 40-37	35,147
14	December 3, 1995	at Miami Dolphins	L 21-20	63,395
15	December 10, 1995	New Orleans Saints	W 19-14	54,603
16	December 17, 1995	at Carolina Panthers	L 21-17	53,833
17	December 24, 1995	San Francisco 49ers	W 28-27	51,785
