Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 8	at Los Angeles Rams	L 16–20	Anaheim Stadium	0–1	52522
2	September 15	New Orleans Saints	W 34–23	Mile High Stadium	1–1	74488
3	September 22	at Atlanta Falcons	W 44–28	Atlanta-Fulton County Stadium	2–1	37903
4	September 29	Miami Dolphins	L 26–30	Mile High Stadium	2–2	73614
5	October 6	Houston Oilers	W 31–20	Mile High Stadium	3–2	74699
6	October 13	at Indianapolis Colts	W 15–10	Hoosier Dome	4–2	60128
7	October 20	Seattle Seahawks	W 13–10 (OT)	Mile High Stadium	5–2	74899
8	October 27	at Kansas City Chiefs	W 30–10	Arrowhead Stadium	6–2	68246
9	November 3	at San Diego Chargers	L 10–30	Jack Murphy Stadium	6–3	57312
10	November 11	San Francisco 49ers	W 17–16	Mile High Stadium	7–3	73173
11	November 17	San Diego Chargers	W 30–24 (OT)	Mile High Stadium	8–3	74376
12	November 24	at Los Angeles Raiders	L 28–31 (OT)	Los Angeles Memorial Coliseum	8–4	63181
13	December 1	at Pittsburgh Steelers	W 31–23	Three Rivers Stadium	9–4	56797
14	December 8	Los Angeles Raiders	L 14–17 (OT)	Mile High Stadium	9–5	75042
15	December 14	Kansas City Chiefs	W 14–13	Mile High Stadium	10–5	69209
