Name	Type	R.A. ( J2000 )	Dec. ( J2000 )	Redshift (km/ s )	Apparent Magnitude
NGC 2082	SAB(rs+)c	05h41m51.1s	°18′04″	1184 ± 6	12.6
NGC 1947	S0 - pec	05h26m47.6s	°45′36″	1100 ± 24	11.7
NGC 1796	(R)SB(r)dm:	05h02m42.5s	°08′24″	1014 ± 9	12.9
NGC 1688	SB(rs)dm	04h48m23.8s	°48′01″	1228 ± 6	12.6
NGC 1672	(R'_1:)SB(r)bc Sy2	04h45m42.5s	°14′50″	1331 ± 3	10.3
IC 2056	SAB(r)b	04h16m24.5s	°12′25″	1133 ± 10	12.5
NGC 1559	SB(s)cd	04h17m35.8s	°47′01″	1304 ± 4	11.0
NGC 1543	(R)SB(l)0 0	04h12m43.2s	°44′17″	1176 ± 7	11.5
NGC 1574	SA0 -	04h21m58.8s	°58′29″	1050 ± 25	11.4
NGC 1533	(L)SB(rs)0 0	04h09m51.8s	°07′06″	790 ± 5	11.7
NGC 1546	SA0 +?	04h14m36.5s	°03′39″	1284 ± 14	11.8
NGC 1553	SA(rl)0 0	04h16m10.5s	°46′49″	1080 ± 11	10.3
NGC 1549	E0 −1	04h15m45.1s	°35′32″	1220 ± 15	10.7
NGC 1566	(R'_1)SAB(rs)bcSy1	04h20m00.4s	°56′16″	1504 ± 2	10.3
NGC 1617	(R')SAB(rs)a	04h31m39.5s	°36′08″	1063 ± 21	11.4
NGC 1515	SAB(s)bc	04h04m02.7s	°06′00″	1175 ± 7	12.1
NGC 1705	SA0 - pec	04h54m13.5s	°21′40″	633 ± 6	12.8
NGC 1596	SA0: sp	04h27m38.1s	°01′40″	1510 ± 8	12.1
