Rank	Nation	Gold	Silver	Bronze	Total
1	Japan	7	0	3	10
2	South Korea	2	6	2	10
3	China	2	0	0	2
4	France	1	1	2	4
5	Georgia	1	0	1	2
5	Uzbekistan	1	0	1	2
7	Mongolia	1	0	0	1
7	Azerbaijan	1	0	0	1
9	Russia	0	2	5	7
10	Spain	0	2	0	2
11	Ukraine	0	1	1	2
12	Cameroon	0	1	0	1
12	Serbia	0	1	0	1
12	Chinese Taipei	0	1	0	1
12	Turkey	0	1	0	1
16	Iran	0	0	2	2
16	Canada	0	0	2	2
16	Italy	0	0	2	2
16	Lithuania	0	0	2	2
16	Armenia	0	0	2	2
21	Moldova	0	0	1	1
21	Kazakhstan	0	0	1	1
21	Germany	0	0	1	1
21	Algeria	0	0	1	1
21	Poland	0	0	1	1
21	North Korea	0	0	1	1
21	Austria	0	0	1	1
