Year	Driver	Constructor	Location	Formula	Report
1960	Jack Brabham	Cooper - Climax	Roskilde Ring	Formula 2	Report
1961	Stirling Moss	Lotus - Climax	Roskilde Ring	Formula 1	Report
1962	Jack Brabham	Lotus - Climax	Roskilde Ring	Formula 1	Report
1963	Peter Revson	Cooper - BMC	Roskilde Ring	Formula Junior	Report
1964	Hartvig Conradsen	Cooper - BMC	Roskilde Ring	Formula Junior	Report
1965	Kurt Ahrens Jr.	Brabham - Ford	Roskilde Ring	Formula 3	Report
1968	Ingvar Pettersson	Tecno - Ford	Roskilde Ring	Formula 3	Report
1973	Randy Lewis	Brabham - Ford	Roskilde Ring	Formula 3	Report
1974	Jac Nelleman	GRD - Ford	Jyllandsringen	Formula 3	Report
1975	Jac Nelleman	GRD - Ford	Jyllandsringen	Formula 3	Report
1976	Jac Nelleman	Van Diemen - Toyota	Jyllandsringen	Formula 3	Report
1977	Jac Nelleman	Chevron - Toyota	Jyllandsringen	Formula 3	Report
1995	Toni Teittinen	Reynard - Mugen - Honda	Jyllandsringen	Formula 3	Report
