Heat	Lane	Name	Country	Mark	React
1	6	Dwain Chambers	United Kingdom	6.55 PB	0.160
1	7	Isaac Uche	Nigeria	6.65	0.144
1	5	Francis Obikwelu	Portugal	6.66 SB	0.242
1	8	Amr Ibrahim Mostafa Seoud	Egypt	6.69 NR	0.134
1	2	Ihor Bodrov	Ukraine	6.71	0.153
1	3	Simone Collio	Italy	6.74	0.250
1	4	Leroy Dixon	United States	6.75	0.295
1	1	Henry Vixcaíno	Cuba	6.77	0.276
2	3	Michael Rodgers	United States	6.54 PB	0.117
2	5	Vicente de Lima	Brazil	6.59	0.145
2	4	Kim Collins	Saint Kitts and Nevis	6.61	0.214
2	6	Simeon Williamson	United Kingdom	6.63	0.155
2	8	Martial Mbandjock	France	6.65 PB	0.141
2	1	Fabio Cerutti	Italy	6.69	0.146
2	2	Kael Becerra	Chile	6.80	0.147
2	7	Adrian Durant	United States Virgin Islands	6.86	0.234
3	6	Olusoji Fasuba	Nigeria	6.51 WL	0.150
3	7	Andrey Yepishin	Russia	6.60 SB	0.103
3	5	Yhann Plummer	Jamaica	6.65 PB	0.166
3	2	Marius Broening	Germany	6.67	0.137
3	4	Ángel David Rodríguez	Spain	6.70	0.176
3	8	Maarten Heisen	Netherlands	6.71	0.157
3	1	Dmytro Hlushchenko	Ukraine	6.72	0.239
3	3	Brendan Christian	Antigua and Barbuda	6.72	0.180
