Rnd	Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
1	Argentine Grand Prix	9 January	Buenos Aires	James Hunt	James Hunt	Jody Scheckter	Wolf - Ford	Report
2	Brazilian Grand Prix	23 January	Interlagos	James Hunt	James Hunt	Carlos Reutemann	Ferrari	Report
3	South African Grand Prix	5 March	Kyalami	James Hunt	John Watson	Niki Lauda	Ferrari	Report
4	United States Grand Prix West	3 April	Long Beach	Niki Lauda	Niki Lauda	Mario Andretti	Lotus - Ford	Report
5	Spanish Grand Prix	8 May	Jarama	Mario Andretti	Jacques Laffite	Mario Andretti	Lotus - Ford	Report
6	Monaco Grand Prix	22 May	Monaco	John Watson	Jody Scheckter	Jody Scheckter	Wolf - Ford	Report
7	Belgian Grand Prix	5 June	Zolder	Mario Andretti	Gunnar Nilsson	Gunnar Nilsson	Lotus - Ford	Report
8	Swedish Grand Prix	19 June	Anderstorp	Mario Andretti	Mario Andretti	Jacques Laffite	Ligier - Matra	Report
9	French Grand Prix	3 July	Dijon-Prenois	Mario Andretti	Mario Andretti	Mario Andretti	Lotus - Ford	Report
10	British Grand Prix	16 July	Silverstone	James Hunt	James Hunt	James Hunt	McLaren - Ford	Report
11	German Grand Prix	31 July	Hockenheimring	Jody Scheckter	Niki Lauda	Niki Lauda	Ferrari	Report
12	Austrian Grand Prix	14 August	Österreichring	Niki Lauda	John Watson	Alan Jones	Shadow - Ford	Report
13	Dutch Grand Prix	28 August	Zandvoort	Mario Andretti	Niki Lauda	Niki Lauda	Ferrari	Report
14	Italian Grand Prix	11 September	Monza	James Hunt	Mario Andretti	Mario Andretti	Lotus - Ford	Report
15	United States Grand Prix	2 October	Watkins Glen	James Hunt	Ronnie Peterson	James Hunt	McLaren - Ford	Report
16	Canadian Grand Prix	9 October	Mosport	Mario Andretti	Mario Andretti	Jody Scheckter	Wolf - Ford	Report
