Season	Ep #	Season Premiere	Season Finale	Ranking	Viewers (Households in millions)	Rating
Season 1	24	September 17, 1972	March 25, 1973	#46	N/A	N/A
Season 2	24	September 15, 1973	March 2, 1974	#4	17.02	25.7
Season 3	24	September 10, 1974	March 18, 1975	#5	18.76	27.4
Season 4	24	September 12, 1975	February 24, 1976	#15	15.93	22.9
Season 5	24	September 21, 1976	March 15, 1977	#4	18.44	25.9
Season 6	24	September 20, 1977	March 27, 1978	#9	16.91	23.2
Season 7	25	September 18, 1978	March 12, 1979	#7	18.92	25.4
Season 8	25	September 17, 1979	March 24, 1980	#5	19.30	25.3
Season 9	20	November 17, 1980	May 4, 1981	#4	20.53	25.7
Season 10	21	October 26, 1981	April 12, 1982	#9	18.17	22.3
Season 11	16	October 25, 1982	February 28, 1983	#3	18.82	22.6
