Team	Coach	Home Ground	Location	Founded
Adelaide Blue Eagles	Zoran Karadzic	Marden Sports Complex	Marden	1958
Adelaide City	Damian Mori	Adelaide City Park	Oakden	1946
Adelaide Galaxy	Brenton Heirn	Con Makris Park	Novar Gardens	1933
Adelaide Raiders	Michael Barnett	Croatian Sports Centre	Gepps Cross	1952
Campbelltown City	Jason Trimboli	Newton Sportsground	Campbelltown	1963
Croydon Kings	John Kosmina	Polonia Reserve	Croydon	1950
Modbury Jets	Earl Pudler	Jet Park	Modbury North	1964
MetroStars	David Terminello	T.K. Shutter Reserve	Klemzig	1994
Para Hills Knights	Kenneth Tosh	The Paddocks	Para Hills	1964
Western Strikers	Charlie Villani	Carnegie Reserve	Royal Park	1998
