Draw	Artist	Song	Televote	Place
1	Simona Sivanio	Obehstaj mi	2.33%	11
2	Nikolai Manolov	Po-dobre	12.98%	3
3	Dani Milev	Slanceto i mraka	11.54%	4
4	Georgi Hristov & Gianni Fiorelino	Sogno	15.27%	2
5	Nevena Tsoneva	Ne izchezvaj	9.36%	7
6	Ivaylo Kolev	Should’ve Been the One	3.76%	8
7	Те & Preslava Peycheva	Tazi Vecher	2.06%	12
8	Ivan and Stani	You are magic	3.06%	10
9	Desi Dobreva	Strong	9.60%	6
10	Deep Zone & DJ Balthazar	DJ, Take Me Away	15.37%	1
11	Svetlozar Hristov & Vladimir Dimov	Tired soul	11.26%	5
12	New Generation	Running Scared	3.14%	9
