Average population (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)
234	7 037	5 109	1 928	30.1	21.9	8.2
236	7 444	4 300	3 144	31.5	18.2	13.3
238	7 416	4 460	2 956	31.1	18.7	12.4
241	7 279	4 686	2 593	30.3	19.5	10.8
243	7 535	4 952	2 583	31.0	20.4	10.6
245	7 431	4 851	2 580	30.3	19.8	10.5
248	7 516	4 844	2 672	30.3	19.6	10.8
250	7 738	4 482	3 256	30.9	17.9	13.0
253	7 639	4 933	2 706	30.2	19.5	10.7
256	7 264	4 752	2 512	28.4	18.6	9.8
258	7 065	4 321	2 744	27.4	16.7	10.6
260	7 126	4 892	2 234	27.4	18.8	8.6
262	7 051	4 556	2 495	26.9	17.4	9.5
264	7 009	4 383	2 626	26.5	16.6	9.9
266	6 781	4 446	2 335	25.5	16.7	8.8
265	5 701	4 126	1 575	21.5	15.6	5.9
264	4 958	4 246	712	18.8	16.1	2.7
263	4 516	4 730	- 214	17.1	18.0	-0.8
263	4 413	5 611	-1 198	16.8	21.4	-4.6
262	4 638	4 627	11	17.7	17.7	0.0
261	5 621	3 404	2 217	21.6	13.1	8.5
261	5 494	3 444	2 050	21.1	13.2	7.9
262	5 094	3 538	1 556	19.5	13.5	5.9
263	5 468	3 581	1 887	20.8	13.6	7.2
266	5 369	3 421	1 948	20.2	12.9	7.3
268	5 619	3 791	1 828	21.0	14.1	6.8
270	5 639	4 100	1 539	20.9	15.2	5.7
278	5 864	3 909	1 955	21.1	14.1	7.0
287	6 114	4 017	2 097	21.3	14.0	7.3
292	6 210	4 553	1 657	21.3	15.6	5.7
297	6 377	3 876	2 501	21.4	13.0	8.4
300	5 988	3 971	2 017	20.0	13.3	6.7
299	5 295	3 949	1 346	17.7	13.2	4.5
298	4 895	3 725	1 170	16.4	12.5	3.9
298	4 665	3 535	1 130	15.7	11.9	3.8
297	4 523	3 740	783	15.2	12.6	2.6
298	4 514	3 433	1 081	15.2	11.5	3.6
299	4 514	3 555	959	15.1	11.9	3.2
301	4 486	3 811	675	14.9	12.7	2.2
300	4 511	3 804	707	15.0	12.7	2.4
296	3 959	3 580	379	13.4	12.1	1.3
292	4 029	4 065	- 36	13.8	13.9	-0.1
290	4 506	4 220	286	15.6	14.6	1.0
289	4 277	4 437	- 160	14.8	15.4	-0.6
285	4 128	5 406	-1 278	14.5	18.9	-4.5
284	3 775	4 585	- 810	13.3	16.2	-2.9
286	4 263	3 525	738	14.9	12.3	2.6
289	4 178	3 548	630	14.5	12.3	2.2
292	4 162	3 400	762	14.3	11.6	2.6
294	4 026	3 676	350	13.7	12.5	1.2
296	4 116	3 401	715	13.9	11.5	2.4
297	4 176	3 456	720	14.0	11.6	2.4
299	4 535	3 557	978	15.2	11.9	3.3
301	4 565	3 737	828	15.2	12.4	2.7
303	4 713	3 421	1 292	15.6	11.3	4.3
305	4 962	3 453	1 509	16.3	11.3	5.0
307	4 833	3 878	955	15.8	12.6	3.1
309	4 954	3 811	1 143	16.1	12.4	3.7
310	4 959	3 512	1 447	16.0	11.3	4.7
312	5 037	3 607	1 430	16.1	11.6	4.6
314	5 019	3 716	1 303	16.0	11.8	4.1
317	5 112	3 616	1 496	16.1	11.4	4.7
321	5 137	4 037	1 100	16.0	12.6	3.4
324	5 112	3 929	1 183	15.8	12.1	3.7
328	5 229	3 857	1 372	16.0	11.8	4.2
332	5 297	4 057	1 240	16.0	12.2	3.7
334	5 194	4 133	1 061	15.6	12.4	3.2
335	4 957	4 166	791	14.8	12.4	2.4
336	4 780	4 138	642	14.2	12.3	1.9
338	4 503	4 202	301	13.3	12.5	0.9
339	4 476	4 168	308	13.2	12.3	0.9
342	4 512	4 416	96	13.2	12.9	0.3
347	4 138	4 120	18	11.9	11.9	0.1
351	3 847	4 184	- 337	11.0	11.9	-1.0
355	3 925	4 291	- 366	11.1	12.1	-1.0
359	3 997	4 376	- 379	11.1	12.2	-1.1
361	3 915	4 507	- 592	10.8	12.5	-1.6
362	4 053	4 083	- 30	11.2	11.3	-0.1
362	4 072	4 187	- 115	11.2	11.6	-0.3
363	4 078	3 985	93	11.2	11.0	0.3
364	4 169	4 113	56	11.4	11.3	0.2
365	4 414	4 105	309	12.1	11.2	0.8
366	4 300	4 133	167	11.8	11.3	0.5
366	4 185	4 129	56	11.4	11.3	0.2
366	4 192	4 072	120	11.5	11.1	0.3
367	4 104	4 027	77	11.2	11.0	0.2
368	4 309	3 970	339	11.7	10.8	0.9
371	4 238	4 012	226	11.4	10.8	0.6
374	4 603	3 840	763	12.3	10.3	2.0
378	4 665	3 984	681	12.4	10.6	1.8
382	4 936	3 773	1 163	12.9	9.9	3.0
387	4 986	3 744	1 242	12.9	9.7	3.2
392	5 149	4 022	1 127	13.1	10.3	2.9
397	5 353	3 915	1 438	13.5	9.8	3.6
403	5 451	3 800	1 651	13.5	9.4	4.1
409	5 421	3 797	1 624	13.3	9.3	4.0
414	5 689	3 895	1 794	13.7	9.4	4.3
419	5 503	3 937	1 566	13.1	9.4	3.7
425	5 386	3 901	1 485	12.7	9.2	3.5
430	5 582	3 793	1 789	13.0	8.8	4.2
436	5 723	3 754	1 969	13.1	8.6	4.5
442	5 459	3 719	1 740	12.4	8.4	3.9
446	5 345	3 744	1 601	12.0	8.4	3.6
452	5 303	4 053	1 250	11.7	9.0	2.8
458	5 452	3 578	1 874	11.9	7.8	4.1
465	5 371	3 621	1 750	11.5	7.8	3.8
473	5 514	3 766	1 748	11.7	8.0	3.7
480	5 477	3 866	1 611	11.4	8.1	3.4
489	5 596	3 595	2 001	11.5	7.4	4.1
498	5 638	3 657	1 982	11.3	7.3	4.0
507	5 874	3 760	2 114	11.6	7.4	4.2
518	5 639	3 819	1 820	10.9	7.4	3.5
531	6 026	3 876	2 150	11.4	7.3	4.1
