Year	Order No.	Quantity	GER Nos.	LNER No.	LNER 1946 No.
1890	R24	10	327–336	7327–7336	8490–8495, —, 8496–8498
1890	S24	10	337–346	7337–7346	8499–8505, —, 8507–8508
1890	A26	10	397–406	7397–7406	8509–8513, —, 8514, — 8515, —
1890–91	B26	10	407–416	7011–7020	8516–8521, —, 8522–8523, —
1892	P29	10	347–356	7347–7356	8524–8533
1892	R29	10	357–366	7357–7366	8534–8538, — 8540, — 8541–8542
1894	N33	10	367–376	7367–7376	8543–8552
1895	F36	10	377–386	7377–7386	8553–8562
1895–96	Y36	10	387–396	7387–7396	8563, —, 8565–8572
1896	C37	10	265–274	7265–7274	8573–8579, — 8581, —
1899	H45	10	255–264	7255–7264	—, 8583–8585, —, 8586–8590
1899–1900	G47	10	199–208	7199–7208	—, 8606, —, —, 8591–8592, —, 8593–8595
1900	S48	10	189–198	7305, 7190–7198	8596–8603, —, 8605
1901	R50	10	160–169	7160–7169	8607–8613, —, —, 8616
