Series #	Season #	Title	Written by	Original air date	U.S. Viewers (millions)
46	1	"A Decent Proposal"	Kari Lizer & Jeff Astrof	September24,2008	6.52
47	2	"How I Hate Your Mother"	Katie Palmer	October1,2008	6.80
48	3	"White Like Me"	Lew Schneider	October8,2008	7.53
49	4	"Snakes on a Date"	Lew Schneider	October15,2008	7.61
50	5	"Everyone Says I Love You Except Ritchie"	Jackie Filgo & Jeff Filgo	October22,2008	7.75
51	6	"Tie Me Up, Don't Tie Me Down"	Sherry Bilsing-Graham & Ellen Kreamer	October29,2008	7.60
52	7	"So You Think You Can Date"	Sherry Bilsing-Graham & Ellen Kreamer	November5,2008	6.50
53	8	"Self-Esteem Tempura"	Jeff Astrof	November12,2008	6.82
54	9	"Rage Against the Christine"	Kari Lizer & Jeff Astrof	November19,2008	8.09
55	10	"Guess Who's Not Coming to Dinner"	Lew Schneider & Katie Palmer	November26,2008	7.48
56	11	"Unidentified Funk"(Part 1)	Frank Pines	December10,2008	7.94
57	12	"Happy Endings"(Part 2)	Jackie Filgo & Jeff Filgo	December17,2008	7.29
58	13	"Notes on a 7th Grade Scandal"	Allan Rice	January14,2009	7.17
59	14	"What Happens in Vegas is Disgusting in Vegas"	Sherry Bilsing-Graham & Ellen Kreamer	January21,2009	7.29
60	15	"Reckless Abandonment"	Jeff Astrof	February11,2009	6.67
61	16	"Honey, I Ran Over the Kid"	Sherry Bilsing-Graham & Ellen Plummer	February18,2009	6.72
62	17	"Too Close for Christine"	Amy Iglow	March11,2009	7.63
63	18	"A Change in Heart/Pants"	Lew Schneider & Frank Pines	March18,2009	7.21
64	19	"Hair"	Matt Goldman	April8,2009	7.17
65	20	"He Ain't Heavy"	Sherry Bilsing-Graham	May6,2009	6.45
66	21	"The Old Maid of Honor"	Kari Lizer & Jeff Astrof	May13,2009	6.50
