Rider	Manufacturer	Laps	Time/Retired	Grid
Marco Melandri	Aprilia	25	41:40.377	2
Roberto Rolfo	Honda	25	+2.193	6
Fonsi Nieto	Aprilia	25	+2.689	1
Randy de Puniet	Aprilia	25	+2.950	4
Franco Battaini	Aprilia	25	+4.538	5
Casey Stoner	Aprilia	25	+23.101	18
Naoki Matsudo	Yamaha	25	+23.215	11
Shahrol Yuzy	Yamaha	25	+23.374	12
Emilio Alzamora	Honda	25	+24.586	7
Toni Elías	Aprilia	25	+30.721	9
Haruchika Aoki	Honda	25	+37.908	13
David Checa	Aprilia	25	+38.456	14
Alex Debón	Aprilia	25	+40.607	10
Hugo Marchand	Aprilia	25	+1:00.034	19
Raúl Jara	Aprilia	25	+1:02.087	16
Taro Sekiguchi	Yamaha	25	+1:02.410	15
Vincent Philippe	Aprilia	25	+1:02.643	17
Leon Haslam	Honda	25	+1:09.785	20
Jay Vincent	Honda	25	+1:17.851	21
Héctor Faubel	Aprilia	25	+1:30.113	22
Dirk Heidolf	Aprilia	25	+1:31.937	25
Jarno Janssen	Honda	25	+1:47.797	23
Eric Bataille	Honda	7	Retirement	24
Roberto Locatelli	Aprilia	5	Accident	3
Sebastián Porto	Yamaha	4	Retirement	8
