Block A	Ryuji Hijikata	Shuji Kondo	MAZADA	El Samurai
Ryuji Hijikata	X	Kondo (0:33)	Hijikata (14:24)	Samurai (10:58)
KAI	Draw (30:00)	Kondo (18:49)	KAI (9:48)	KAI (11:51)
Shuji Kondo	Kondo (0:33)	X	MAZADA (16:32)	Samurai (10:03)
MAZADA	Hijikata (14:24)	MAZADA (16:32)	X	MAZADA (16:22)
El Samurai	Samurai (10:58)	Samurai (10:03)	MAZADA (16:22)	X
Block B	Phil Atlas	Silver King	T28	TAKEMURA
Phil Atlas	X	King (11:33)	Draw (30:00)	TAKEMURA (13:54)
Kaz Hayashi	Atlas (10:45)	Hayashi (14:20)	Hayashi (13:52)	TAKEMURA (13:24)
Silver King	King (11:33)	X	King (10:10)	King (14:03)
T28	Draw (30:00)	King (10:10)	X	T28 (16:32)
TAKEMURA	TAKEMURA (13:54)	King (14:03)	T28 (16:32)	X
