Date	Opponent	Score	Loss	Attendance	Record
April 5	@ Athletics	5-4	Nelson (0-1)	45,122	0-1
April 6	@ Athletics	3-1	Park (0-1)	13,217	0-2
April 7	@ Athletics	2-1	Zito (0-1)	20,232	1-2
April 9	Angels	12-4	Ortiz (0-1)	50,370	2-2
April 10	Angels	12-6	Lackey (0-1)	30,331	3-2
April 11	Angels	7-2	Park (0-2)	18,209	3-3
April 12	Angels	7-6	Washburn (1-1)	18,156	4-3
April 13	Athletics	10-9	Callaway (0-1)	20,112	4-4
April 14	Athletics	9-4	Dickey (1-1)	24,093	4-5
April 15	Athletics	7-2	Harden (0-1)	22,605	5-5
April 16	@ Mariners	5-0	Meche (0-2)	35,647	6-5
April 17	@ Mariners	4-1	Lewis (1-1)	38,925	6-6
April 18	@ Mariners	4-2	Ramirez (0-1)	35,182	6-7
April 20	@ Angels	6-3	Ortiz (0-2)	33,892	7-7
April 21	@ Angels	4-1	Lackey (0-3)	36,689	8-7
April 22	@ Angels	7-5	Park (1-3)	30,725	8-8
April 23	Mariners	10-8	Piñeiro (1-2)	28,020	9-8
April 24	Mariners	3-0	García (0-1)	28,479	10-8
April 25	Mariners	14-6	Franklin (1-1)	31,110	11-8
April 27	@ Royals	3-2	Affeldt (0-2)	15,529	12-8
April 28	@ Royals	5-3	Rogers (3-1)	15,530	12-9
April 29	@ Royals	9-7	Leskanic (0-3)	13,663	13-9
April 30	Postponed	Postponed	Postponed	Postponed	13-9
