Driver	Constructor	Laps	Time/Retired	Grid
Jacky Ickx	Ferrari	14	1:42:12.3	1
Clay Regazzoni	Ferrari	14	+48.3	7
Ronnie Peterson	March - Ford	14	+ 1:06.7	4
Howden Ganley	BRM	14	+ 2:20.2	18
Brian Redman	McLaren - Ford	14	+ 2:35.7	19
Graham Hill	Brabham - Ford	14	+ 2:59.6	15
Wilson Fittipaldi	Brabham - Ford	14	+ 3:00.1	21
Mike Beuttler	March - Ford	14	+ 5:10.7	27
Jean-Pierre Beltoise	BRM	14	+ 5:20.2	13
François Cevert	Tyrrell - Ford	14	+ 5:43.7	5
Jackie Stewart	Tyrrell - Ford	13	Collision	2
Arturo Merzario	Ferrari	13	+ 1 Lap	22
Andrea de Adamich	Surtees - Ford	13	+ 1 Lap	20
Tim Schenken	Surtees - Ford	13	+ 1 Lap	12
Chris Amon	Matra	13	+ 1 Lap	8
Carlos Pace	March - Ford	11	Not classified	11
Emerson Fittipaldi	Lotus - Ford	10	Gearbox	3
Henri Pescarolo	March - Ford	10	Accident	9
Denny Hulme	McLaren - Ford	8	Engine	10
Mike Hailwood	Surtees - Ford	8	Suspension	16
Carlos Reutemann	Brabham - Ford	6	Differential	6
Rolf Stommelen	March - Ford	6	Electrical	14
Dave Walker	Lotus - Ford	6	Oil Leak	23
Niki Lauda	March - Ford	4	Oil Leak	24
Derek Bell	Tecno	4	Engine	25
Dave Charlton	Lotus - Ford	4	Physical	26
Reine Wisell	BRM	3	Engine	17
