Player	Pos.	From	School/Country	Rebs	Asts
Kurt Rambis Category:Articles with hCards	F	1989	Santa Clara	783	209
Joe Reaves Category:Articles with hCards	SF	1973	Bethel	8	1
Michael Redd Category:Articles with hCards	SG	2011	Ohio State	77	33
Terrence Rencher Category:Articles with hCards	PG	1995	Texas	2	0
Shawn Respert Category:Articles with hCards	SG	1998	Michigan State	13	8
Jason Richardson Category:Articles with hCards	SG	2008	Michigan State	776	289
Quentin Richardson Category:Articles with hCards	G/F	2004	DePaul	479	158
Pat Riley Category:Articles with hCards	SG	1975	Kentucky	47	57
Rick Robey Category:Articles with hCards	C/F	1983	Kentucky	345	128
Clifford Robinson Category:Articles with hCards	F/C	1997	Connecticut	1,330	759
Rumeal Robinson Category:Articles with hCards	PG	1996	Michigan	7	8
Truck Robinson Category:Articles with hCards	PF	1978	Tennessee State	2,505	566
Rodney Rogers Category:Articles with hCards	F	1999	Wake Forest	1,047	422
Jalen Rose Category:Articles with hCards	G/F	2006	Michigan	23	16
Trevor Ruffin Category:Articles with hCards	PG	1994	Hawaii	23	48
Stefano Rusconi Category:Articles with hCards	C/F	1995	Italy	6	3
