Driver	Constructor	Laps	Time/Retired	Grid
Riccardo Patrese	Williams - Renault	53	1:33:09.533	2
Gerhard Berger	McLaren - Honda	53	+ 13.729	4
Martin Brundle	Benetton - Ford	53	+ 1:15.503	13
Andrea de Cesaris	Tyrrell - Ilmor	52	+ 1 Lap	9
Jean Alesi	Ferrari	52	+ 1 Lap	15
Christian Fittipaldi	Minardi - Lamborghini	52	+ 1 Lap	12
Stefano Modena	Jordan - Yamaha	52	+ 1 Lap	17
Aguri Suzuki	Footwork - Mugen-Honda	52	+ 1 Lap	16
JJ Lehto	Dallara - Ferrari	52	+ 1 Lap	22
Pierluigi Martini	Dallara - Ferrari	52	+ 1 Lap	19
Ukyo Katayama	Larrousse - Lamborghini	52	+ 1 Lap	20
Nicola Larini	Ferrari	52	+ 1 Lap	11
Emanuele Naspetti	March - Ilmor	51	+ 2 Laps	26
Gianni Morbidelli	Minardi - Lamborghini	51	+ 2 Laps	14
Michele Alboreto	Footwork - Mugen-Honda	51	+ 2 Laps	24
Nigel Mansell	Williams - Renault	44	Engine	1
Mika Häkkinen	Lotus - Ford	44	Engine	7
Bertrand Gachot	Larrousse - Lamborghini	39	Collision	18
Érik Comas	Ligier - Renault	36	Engine	8
Jan Lammers	March - Ilmor	27	Clutch	23
Maurício Gugelmin	Jordan - Yamaha	22	Spun Off	25
Johnny Herbert	Lotus - Ford	15	Gearbox	6
Michael Schumacher	Benetton - Ford	13	Gearbox	5
Olivier Grouillard	Tyrrell - Ilmor	6	Spun Off	21
Thierry Boutsen	Ligier - Renault	3	Gearbox	10
Ayrton Senna	McLaren - Honda	2	Engine	3
