No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
23	1	" Manhunt "	Kevin Hooks	Paul Scheuring	August21,2006	2AKJ01	9.37
24	2	"Otis"	Bobby Roth	Matt Olmstead	August28,2006	2AKJ02	9.44
25	3	"Scan"	Bryan Spicer	Zack Estrin	September4,2006	2AKJ03	9.29
26	4	"First Down"	Bobby Roth	Nick Santora	September11,2006	2AKJ04	8.96
27	5	"Map 1213"	Peter O'Fallon	Karyn Usher	September18,2006	2AKJ05	9.55
28	6	"Subdivision"	Eric Laneuville	Monica Macer	September25,2006	2AKJ06	8.41
29	7	"Buried"	Sergio Mimica-Gezzan	Seth Hoffman	October2,2006	2AKJ07	8.99
30	8	"Dead Fall"	Vincent Misiano	Zack Estrin	October23,2006	2AKJ08	8.53
31	9	"Unearthed"	Kevin Hooks	Nick Santora	October30,2006	2AKJ09	8.94
32	10	" Rendezvous "	Dwight H. Little	Karyn Usher	November6,2006	2AKJ10	8.63
33	11	" Bolshoi Booze "	Greg Yaitanes	Monica Macer & Seth Hoffman	November13,2006	2AKJ11	9.21
34	12	" Disconnect "	Karen Gaviola	Nick Santora & Karyn Usher	November20,2006	2AKJ12	9.62
35	13	" The Killing Box "	Bobby Roth	Zack Estrin	November27,2006	2AKJ13	9.62
36	14	" John Doe "	Kevin Hooks	Matt Olmstead & Nick Santora	January22,2007	2AKJ14	9.86
37	15	" The Message "	Bobby Roth	Zack Estrin & Karyn Usher	January29,2007	2AKJ15	9.90
38	16	" Chicago "	Jesse Bochco	Matt Olmstead & Nick Santora	February5,2007	2AKJ16	10.12
39	17	"Bad Blood"	Nelson McCormick	Paul Scheuring & Karyn Usher	February19,2007	2AKJ17	9.55
40	18	"Wash"	Bobby Roth	Nick Santora	February26,2007	2AKJ18	9.42
41	19	"Sweet Caroline"	Dwight H. Little	Karyn Usher	March5,2007	2AKJ19	9.72
42	20	" Panama "	Vincent Misiano	Zack Estrin	March19,2007	2AKJ20	8.40
43	21	" Fin Del Camino "	Bobby Roth	Matt Olmstead & Seth Hoffman	March26,2007	2AKJ21	8.24
